,actor_name,filmo,filmo_code,code
6,미카엘 니크비스트,밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,10022862
7,누미 라파스,밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,20125860
8,크리스토스 스테르기오글루,송곳니,20113591,20125861
9,미셸 발리,송곳니,20113591,20125851
10,이민정,원더풀 라디오,20113671,20111405
11,이정진,원더풀 라디오,20113671,10057320
12,이광수,원더풀 라디오,20113671,20111692
13,서영,원더풀 라디오,20113671,10035474
14,황보현,원더풀 라디오,20113671,20180937
15,이범규,원더풀 라디오,20113671,20181027
16,박지연,원더풀 라디오,20113671,20137045
17,서미래,원더풀 라디오,20113671,20183932
18,김병옥,원더풀 라디오,20113671,20143806
19,조우진,원더풀 라디오,20113671,20134255
20,김해숙,원더풀 라디오,20113671,10006221
21,김창완,원더풀 라디오,20113671,10005995
22,지대한,원더풀 라디오,20113671,10069842
23,에만 소르 오냐,치코와 리타,20113501,20125850
24,리마라 메니시스,치코와 리타,20113501,20125858
25,다니엘 크레이그,밀레니엄 : 여자를 증오한 남자들,20110882,10009451
26,루니 마라,밀레니엄 : 여자를 증오한 남자들,20110882,20115379
27,여명,초한지 - 천하대전,20113883,10049730
28,유역비,초한지 - 천하대전,20113883,10053827
29,풍소봉,초한지 - 천하대전,20113883,20125868
30,장한위,초한지 - 천하대전,20113883,10060601
31,황추생,초한지 - 천하대전,20113883,10090362
32,안지걸,초한지 - 천하대전,20113883,10043759
33,진소춘,초한지 - 천하대전,20113883,10070535
34,황정민,밍크코트,20112781,20111869
35,김미향,밍크코트,20112781,10004158
36,정희성,밍크코트,20112781,20179874
37,이상철,밍크코트,20112781,10055906
38,이재희,밍크코트,20112781,20181624
39,노형석,밍크코트,20112781,20182249
40,노형석,밍크코트,20112781,20182249
41,박상욱,밍크코트,20112781,20030332
42,박지만,밍크코트,20112781,20183231
43,신아가,밍크코트,20112781,10040487
44,신준호,밍크코트,20112781,20111222
45,폴 지아마티,세 번째 사랑,20113491,10083789
46,로자먼드 파이크,세 번째 사랑,20113491,10017663
47,더스틴 호프만,세 번째 사랑,20113491,10010611
51,글렌 하사드,원스 어게인,20113822,10003120
52,마르케타 이글로바,원스 어게인,20113822,10021512
53,안토니오 반데라스,장화신은 고양이,20113862,10043877
54,셀마 헤이엑,장화신은 고양이,20113862,10036357
55,자크 갈리피아나키스,장화신은 고양이,20113862,10059374
56,태민,코알라 키드 : 영웅의 탄생,20113811,10079537
57,써니,코알라 키드 : 영웅의 탄생,20113811,20115731
58,윤다훈,코알라 키드 : 영웅의 탄생,20113811,10054228
59,최정현,코알라 키드 : 영웅의 탄생,20113811,20180563
60,엄태웅,네버엔딩 스토리,20113636,10047367
61,김현정,네버엔딩 스토리,20113636,20166881
62,정려원,네버엔딩 스토리,20113636,10061694
63,유선,네버엔딩 스토리,20113636,10053708
64,박기웅,네버엔딩 스토리,20113636,10028507
65,박성광,네버엔딩 스토리,20113636,20127900
66,이병준,네버엔딩 스토리,20113636,20112263
67,조동희,네버엔딩 스토리,20113636,20125263
68,최상아,네버엔딩 스토리,20113636,10072298
69,최혜진,네버엔딩 스토리,20113636,10072906
