,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
0,어린 에츠코의 고민,일본,(주)도키엔터테인먼트,89,0,청소년관람불가,성인물(에로),2013-10-24,1,10,2013-11-06,0
1,러브씬,한국,골든타이드픽처스(주),1083814,0,청소년관람불가,멜로/로맨스|드라마,2013-10-03,4,292,2013-10-16,0
2,섀도우 헌터스: 뼈의 도시,미국,롯데쇼핑㈜롯데엔터테인먼트,146362,1496393,15세이상관람가,판타지|액션,2013-09-12,352,34177,2013-09-25,527593
3,퍼시 잭슨과 괴물의 바다,미국,이십세기폭스코리아(주),0,2568431,12세이상관람가|12세이상관람가,판타지|어드벤처,2013-09-12,380,12304,2013-09-25,475355
4,카르고,스위스,(주)스마일이엔티,0,0,15세이상관람가,미스터리|스릴러,2013-09-12,1,53,2013-09-25,0
5,몬스터 대학교,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),0,1722238,전체관람가|전체관람가,애니메이션,2013-09-12,273,9957,2013-09-25,654597
6,어떤 여인의 고백,프랑스,찬란,0,299,청소년관람불가,드라마|전쟁,2013-10-03,8,203,2013-10-16,1986
7,부에노스 아이레스에서 사랑에 빠질 확률,아르헨티나,(주)영화사 진진,0,0,15세이상관람가,코미디|드라마,2013-09-12,10,247,2013-09-25,11984
8,베이타운 디스코,미국,(주)미디어데이,0,0,청소년관람불가,액션|범죄|코미디,2013-09-12,5,468,2013-09-25,0
9,투 타이거,이탈리아,(주)케이알씨지,0,15095,청소년관람불가,액션,2013-09-26,1,510,2013-10-09,5460
10,치코와 리타,스페인,찬란,21336,0,15세이상관람가,애니메이션|멜로/로맨스,2012-01-05,15,436,2012-01-18,7962
11,카르고,스위스,(주)스마일이엔티,0,0,15세이상관람가,미스터리|스릴러,2013-09-12,1,53,2013-09-25,0
12,이로도리 인생2막,일본,다솔기획|(주)추억을 파는 극장,6014,0,12세이상관람가,드라마,2013-09-27,1,624,2013-10-10,0
13,아메리칸 배틀쉽,미국,(주)케이알씨지,1,0,15세이상관람가,액션|스릴러,2013-09-16,2,520,2013-09-29,4882
14,바캉스,한국,(주)유비네트워크,80,0,청소년관람불가,스릴러,2013-10-17,21,1857,2013-10-30,0
16,브랜디드,미국,(주)수키픽쳐스,0,0,15세이상관람가,SF|액션|드라마|스릴러,2013-09-25,5,200,2013-10-08,0
17,컨저링,미국,워너브러더스 코리아(주),1033287,910169,15세이상관람가,공포(호러)|스릴러,2013-09-17,304,81130,2013-09-30,1611254
18,정글번치 : 빙산으로의 귀환,프랑스,(주)팝엔터테인먼트,25158,0,전체관람가,애니메이션,2013-10-02,126,1493,2013-10-15,55992
19,원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,한국,골든타이드픽처스(주),22079,0,전체관람가,공연,2013-10-31,37,1172,2013-11-13,7746
20,세 번째 사랑,캐나다,(주)씨타마운틴픽쳐스,0,1334876,청소년관람불가,멜로/로맨스|드라마,2012-01-12,15,431,2012-01-25,7284
21,플라이보이스,미국,(주)액티버스엔터테인먼트,2500,0,12세이상관람가,드라마|액션|스릴러,2013-11-02,1,1,2013-11-15,0
22,알렉산더 : 절대 영웅의 탄생,러시아,(주)소나무픽쳐스,0,0,15세이상관람가,액션|어드벤처,2013-09-17,1,203,2013-09-30,0
23,다크 스페이스,캐나다,(주)미디어데이,48567,0,15세이상관람가,SF|액션|스릴러,2013-10-10,5,318,2013-10-23,0
24,낭만파 남편의 편지,한국,(주)퍼스트런,4293,3526,청소년관람불가,드라마|가족|판타지,2013-09-12,6,114,2013-09-25,1038
25,은실이,한국,씨제이이앤엠(주),0,0,청소년관람불가,애니메이션,2012-03-08,1,15,2012-03-21,194
26,"혜원아, 사랑해",한국,양전프로덕션,5586,0,청소년관람불가,미스터리|멜로/로맨스,2012-03-29,2,8,2012-04-11,0
27,야쿠자 대 닌자,일본,(주)도키엔터테인먼트,0,0,15세이상관람가,액션,2013-09-12,1,10,2013-09-25,0
28,벌거숭이,한국,이닥픽쳐스,0,2326,청소년관람불가,범죄|드라마,2013-09-26,5,11,2013-10-09,426
29,녹색의자 2013 - 러브 컨셉츄얼리,한국,(주)씨타마운틴픽쳐스,41329,1040,청소년관람불가,멜로/로맨스|드라마,2013-10-31,4,59,2013-11-13,340
30,2차 노출,중국,라인트리엔터테인먼트 ,1173,0,청소년관람불가,드라마|멜로/로맨스|미스터리,2013-09-12,1,1,2013-09-25,0
31,브로큰 서클,벨기에,(주)에스와이코마드,0,0,청소년관람불가,멜로/로맨스|드라마,2013-10-31,6,75,2013-11-13,1761
32,더 클로스,미국,(주)나우콘텐츠,0,0,청소년관람불가,공포(호러)|어드벤처|판타지,2013-09-26,1,100,2013-10-09,0
33,어떤 시선,한국,(주)영화사 진진,255520,1617000,12세이상관람가,드라마,2013-10-24,24,863,2013-11-06,18378
34,불륜의 다이어리,일본,(유)조이앤컨텐츠그룹,0,0,청소년관람불가,멜로/로맨스|드라마,2013-09-12,1,10,2013-09-25,0
35,차일디쉬 게임즈,스페인,(주)소나무픽쳐스,0,0,15세이상관람가,공포(호러),2013-09-26,1,195,2013-10-09,0
36,밀레니엄 : 여자를 증오한 남자들,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,606131,1061670,청소년관람불가,스릴러|드라마,2012-01-11,195,11033,2012-01-24,384526
37,꽃과 뱀의 정사,일본,(유)조이앤컨텐츠그룹,44,0,청소년관람불가,드라마|멜로/로맨스|미스터리,2013-09-16,1,10,2013-09-29,0
38,초한지 - 천하대전,중국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),173608,248955,12세이상관람가,액션,2012-01-11,97,2636,2012-01-24,91447
