,movieNm,movie_code,nations,distribution,rate,genre,director,actor,cast
1,다크아워,20113652,미국,이십세기폭스코리아(주),12세이상관람가|12세이상관람가,SF|액션,크리스 고락,에밀 허쉬|올리비아 썰비,
2,덴 쉬 파운드 미,20078827,미국,(주)영화사 조제,청소년관람불가,코미디|드라마|멜로/로맨스,헬렌 헌트,헬렌 헌트|콜린 퍼스|베트 미들러,
3,밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,스웨덴|덴마크,팝엔터테인먼트,청소년관람불가,스릴러,닐스 아르덴 오플레브,미카엘 니크비스트|누미 라파스,
4,송곳니,20113591,그리스,(주)컴퍼니엘,청소년관람불가,코미디|드라마,요르고스 란티모스,크리스토스 스테르기오글루|미셸 발리,
5,원더풀 라디오,20113671,한국,(주)쇼박스,15세이상관람가,드라마|멜로/로맨스,권칠인,이민정|이정진|이광수|서영|황보현|이범규|박지연|서미래|김병옥|조우진|김해숙|김창완|지대한,신진아|이재혁|대근|선배PD|녹음실 사내|막내작가|스탠딩|임국장|이여사|김창완-까메오|다희 아빠
6,치코와 리타,20113501,스페인|영국,찬란,15세이상관람가,애니메이션|멜로/로맨스,페르난도 트루에바|하비에르 마리스칼|토노 에란도,에만 소르 오냐|리마라 메니시스,
7,밀레니엄 : 여자를 증오한 남자들,20110882,미국|스웨덴|영국|독일,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,스릴러|드라마,데이빗 핀처,다니엘 크레이그|루니 마라,
8,초한지 - 천하대전,20113883,중국|홍콩,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),12세이상관람가,액션,이인항,여명|유역비|풍소봉|장한위|황추생|안지걸|진소춘,유방|우희 |항우 |장량 |범증 |한신 |번쾌 
9,밍크코트,20112781,한국,㈜인디스토리,15세이상관람가,드라마,이상철|신아가,황정민|김미향|정희성|이상철|이재희|노형석|노형석|박상욱|박지만|신아가|신준호,현순|명순|교인2|회계사|아파트아이들|장발남|목소리출연|남의사|우유보급소 사장|여의사|병원환자
10,세 번째 사랑,20113491,캐나다|이탈리아,(주)씨타마운틴픽쳐스,청소년관람불가,멜로/로맨스|드라마,리처드 J. 루이스,폴 지아마티|로자먼드 파이크|더스틴 호프만,
11,요나요나 펭귄,20112936,일본|프랑스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션|어드벤처|가족,린 타로,서신애|김경식|마츠모토 리카,
12,원스 어게인,20113822,미국|체코|아일랜드,(주)영화사 진진,12세이상관람가,드라마|다큐멘터리,카를로 미라벨라 데이비스|크리스 답킨스|닉 어거스트 페르나,글렌 하사드|마르케타 이글로바,
13,장화신은 고양이,20113862,미국,씨제이이앤엠(주),전체관람가|전체관람가,애니메이션|어드벤처|코미디|판타지,크리스 밀러,안토니오 반데라스|셀마 헤이엑|자크 갈리피아나키스,
14,코알라 키드 : 영웅의 탄생,20113811,한국|미국,롯데쇼핑㈜롯데엔터테인먼트,전체관람가|전체관람가,애니메이션,이경호,태민|써니|윤다훈|최정현,쟈니|미란다|하미쉬|할머니1
15,네버엔딩 스토리,20113636,한국,(주)화앤담이엔티,15세이상관람가,코미디|멜로/로맨스,정용주,엄태웅|김현정|정려원|유선|박기웅|박성광|이병준|조동희|최상아|최혜진|이정영|박준영|박현지|권해효,강동주|간호사 |오송경|결혼정보업체실장역 |파마 아저씨|맞선남|은행동료1|수간호사|파출소 의경|태민|은행동료5|의사
16,댄싱퀸,20113743,한국,씨제이이앤엠(주),12세이상관람가,코미디|드라마,이석훈,황정민|엄정화|정성화|오나라|박정민|박사랑|임호걸|정원영|이정건|안은정|라미란|송원석|이대연|이한위|최우리|천보근|권병길,라리|뽀글이|연우|트레이너1|방송국스텝1|나이트클럽DJ|어린정화|명애|필제|한위|린다|어린 정민|정화 부
17,부러진 화살,20113535,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정지영,안성기|박원상|나영희|김지호|이승훈|이춘연|이홍표|임태연|장길수|장현남|전윤희|조세래|조완기|조유미|최린|최필선|한현근|허웅|이미화|김지연|이익태|이제희|이지석|배연태|백성기|신종훈|오대환|정원중|조동인|김태한|조덕제|박길수|한기중,"김경호|박준|김경호부인|장은서|이변호사, 이교수|법원 미결수|석궁사격장교관|이사 7|학과장|법정 방청객|법정 기자|김덕환경비원|고승민(구급대원)|법정 방청객|법정 방청객|국선변호인|대학측변호사(교수지위소송)|법정 방청객|이태우, 신재열 재판 실무관|배석판사4|통술집 손님|법정 기자|법정 방청객|운전기사|떡대|처남|김인식(석궁실험 형사)|우정출연-박재기|상준|이실장|김성오 판사|최위원장 |재단 이사장"
18,우리는 동물원을 샀다,20113472,미국,이십세기폭스코리아(주),전체관람가,가족|코미디,카메론 크로우,맷 데이먼|스칼렛 요한슨,벤자민 미|켈리 포스터
19,페이스메이커,20113951,한국,(주)시너지하우스 (시너지)|롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,김달중,김명민|안성기|고아라|최태준|조희봉|이엘|이동훈|권지민|최재웅|최윤성|유하복|조영진|이봉규|임종윤|정준원,주만호 |박성일|유지원|민윤기|종수|최민경|사진 작가|닭배달 손님|상비군3|장 차관|육상연맹 이사|문방구 주인|나이키 이사|어린 성호
20,걸스,20124144,홍콩,(주)테라맥스엔터테인먼트,청소년관람불가,드라마,필국지,시아,
21,신과 인간,20124114,프랑스,㈜영화사 백두대간,15세이상관람가,드라마,자비에 보브와,램버트 윌슨|미쉘 롱스달,
22,잃어버린 세계를 찾아서 2: 신비의 섬,20113653,미국,워너브러더스 코리아(주),전체관람가|전체관람가,액션|어드벤처,브래드 페이튼,드웨인 존슨|마이클 케인|조쉬 허처슨|바네사 허진스,
23,자전거 탄 소년,20113481,벨기에|프랑스,(주)티캐스트,12세이상관람가,드라마,장 피에르 다르덴|뤽 다르덴,세실 드 프랑스|토마 도레,
24,가슴 배구단,20124022,일본,(주)케이앤엔터테인먼트,12세이상관람가,코미디,하스미 에이이치로,아야세 하루카|아오키 무네타카,
25,강철의 연금술사 : 미로스의 성스러운 별,20113914,일본,예지림엔터테인먼트,12세이상관람가,애니메이션|액션|판타지|어드벤처,무라타 카즈야,박로미|쿠기미야 리에|사카모토 마아야,에드워드 엘릭|알폰스 엘릭 |줄리아 클라이톤
26,댄싱 채플린,20124097,일본,(주)영화사 조제,전체관람가,다큐멘터리,수오 마사유키,루이지 보니노|쿠사카리 다미요,
27,도망자,20124135,프랑스,(주)씨타마운틴픽쳐스,15세이상관람가,스릴러,에릭 바레트,알베르 뒤퐁텔|앨리스 태그리오니,프랭크 아드리엔 |클레어 린네
28,엘리노의 비밀,20113512,프랑스,라인트리엔터테인먼트 ,전체관람가,애니메이션,도미니크 몽페리,이은샘|안영미,안젤리카 (한국어목소리)|엄마 / 오브리 부인/앨리스 (한국어목소리)
29,원피스 3D : 밀짚모자 체이스,20124098,일본,(주)미디어데이,전체관람가,애니메이션|어드벤처|액션,사토 히로유키,타나카 마유미|오카무라 아케미|강수진|김승준,
30,점박이:한반도의 공룡3D,20100215,한국,씨제이이앤엠(주),전체관람가|전체관람가,애니메이션|어드벤처|액션,한상호,이형석|신용우|구자형,
31,퍼스널 이펙츠,20113974,미국,프리비젼엔터테인먼트,15세이상관람가,드라마,데이빗 홀랜더,애쉬튼 커처|미쉘 파이퍼,
32,안나볼레나,20124209,미국,(주)인스터피씨엠,전체관람가,공연,데이비드 멕비카,안나 네트렙코,
33,파파,20113643,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,가족|코미디,한지승,박용우|고아라|손병호|정명숙|최경선|성상배,춘섭|준|도사장|한국할머니2|한국할머니1|커피숍아저씨
34,뱅뱅클럽,20124095,캐나다|남아프리카공화국,(주)에스와이코마드,청소년관람불가,드라마,스티븐 실버,말린 애커맨|테일러 키취|라이언 필립,
35,범죄와의 전쟁: 나쁜놈들 전성시대,20113557,한국,(주)쇼박스,청소년관람불가,범죄|드라마,윤종빈,최민식|하정우|조진웅|마동석|곽도원|김성균|박성광|이철민|임자연|임헌호|권종현|이승민|박재현|박태호|신수정|이강곤|이낙준|권율|송영창|박병은|김홍파|이희준|유재명|장준녕|김종수|오만석|정재헌,최익현 |최형배 |김판호|김서방|조범석 |박창우 |돌잡이 사회자역 |형배조직원6|11세 자영|강서장|나이트클럽 손님|주한아내|사업가2|나이트클럽 댄서들|형사3|경찰관2|짝퉁소방차3|한변호사|우정출연-어른 주한|엄실장|대학생1|팀원1|판호 조직원3|장 주임|부장검사|형배 조직원2
36,웰컴 투 마이 하트,20113492,영국|미국,판씨네마(주),청소년관람불가,드라마,제이크 스콧,제임스 갠돌피니|크리스틴 스튜어트|멜리사 레오,더그 라일리|맬로리 |로이스 라일리 
37,하이힐을 신고 달리는 여자,20113881,미국,필라멘트픽쳐스,15세이상관람가,코미디,더글라스 맥그래스,사라 제시카 파커|피어스 브로스넌|그렉 키니어,
38,해피 피트 2,20113911,호주,워너브러더스 코리아(주),전체관람가|전체관람가,애니메이션|코미디|가족,조지 밀러,일라이저 우드|핑크|로빈 윌리엄스|엘리자베스 데일리|브래드 피트|맷 데이먼,멈블 목소리|글로리아 목소리 |레이몬 / 로브러스 목소리 |베리어스 캐릭터스 목소리 |윌 크릴 목소리 |빌 크릴 목소리 
39,변태 전화방,20124390,일본,(주)인디플러그,청소년관람불가,성인물(에로),사노 카즈히로,사노 카즈히로|키시 카나코,
40,보내주고싶은 여자,20124393,일본,(주)인디플러그,청소년관람불가,성인물(에로),후쿠오카 요시호,사노 카즈히로|키시 카나코,
41,부드러운 살결,20124392,일본,(주)인디플러그,청소년관람불가,성인물(에로),사토 히사야스,에자와 모에코,
42,욕망 전차,20124389,일본,(주)인디플러그,청소년관람불가,성인물(에로),제제 다카히사,키시 카나코|이토 타케시,
43,전성계비,20124716,홍콩,익스트림 필름 ,15세이상관람가,액션|SF|스릴러,진목승,곽부성,
44,하고싶어,20124391,일본,(주)인디플러그,청소년관람불가,성인물(에로),사토 토시키,혼다 키쿠지로,
45,sm 헌터,20124394,일본,(주)인디플러그,청소년관람불가,성인물(에로),카타오카 슈지,시모모토 시로,
46,두 개의 선,20110608,한국,시네마달,15세이상관람가,다큐멘터리,지민,시모모토 시로,
47,미스터 나이스,20124126,영국,(주)씨타마운틴픽쳐스,청소년관람불가,코미디|드라마,버나드 로즈,리스 이판|클로에 세비니,하워드 막스 |주디 막스 
48,스롤란 마이러브,20124138,독일,(주)엣나인필름,15세이상관람가,멜로/로맨스|드라마,데틀레프 북,데이빗 크로스|아핀야 사쿨자로엔숙,벤|스레이케오
49,슬랩스틱 브라더스,20124094,일본,(주)키노아이디엠씨,15세이상관람가,코미디,시나가와 히로시,사토 류타|카미지 유스케,
