,movie_name,nation,distribution,director_sum,actor_sum,rate_score,genre,first_genre,genre_sum,release_date,day1_screen,day1_audience,day15_date,day_score,day15_audience,rate,news7
0,어느 예술가의 마지막 일주일,0.021345,0.05,11575,100719,0.15883,864919,드라마,864919.5959999999,2013-06-20,16,437,2013-07-04,64743.59295,10018,15세이상관람가,0
1,쇼를 사랑한 남자,0.184566,0.05,258824,885298,0.01975,864919,드라마,930581.5959999999,2013-10-09,11,719,2013-10-23,62845.871620000005,10051,청소년관람불가,22
2,일대일,0.267262,0.05,85832,2300219,0.01975,864919,드라마,864919.5959999999,2014-05-22,51,920,2014-06-05,71683.00721,10073,청소년관람불가,559
3,로렌스 애니웨이,0.008427,0.05,21362,23092,0.15883,864919,멜로/로맨스,930581.5959999999,2013-12-19,24,596,2014-01-02,97214.73288,10156,15세이상관람가,18
4,다음 침공은 어디?,0.184566,0.05,170259,0,0.15883,71396,다큐멘터리,71396.38793,2016-09-08,31,466,2016-09-22,93600.34137000001,10200,15세이상관람가,47
5,로봇 앤 프랭크,0.184566,0.05,0,1683955,0.22784000000000001,864919,코미디,1827908.89,2013-01-17,33,415,2013-01-31,76823.08232,10265,12세이상관람가,10
6,48미터,0.267262,0.809701,0,337623,0.15883,864919,드라마,864919.5959999999,2013-07-04,34,549,2013-07-18,83996.12402,10290,15세이상관람가,128
7,새 구두를 사야해,0.010716,0.05,0,28908,0.22784000000000001,864919,멜로/로맨스,930581.5959999999,2013-04-25,24,629,2013-05-09,54491.95665,10299,12세이상관람가,0
8,"다시, 뜨겁게 사랑하라!",0.021345,0.05,11400,23033,0.15883,864919,드라마,930581.5959999999,2013-01-03,31,699,2013-01-17,76823.08232,10383,15세이상관람가,19
9,행복한 사전,0.010716,0.05,7097,269850,0.07631,864919,드라마,1195616.797,2014-02-20,24,543,2014-03-06,61912.96141,10422,전체관람가,33
10,피나,0.021345,0.05,19780,0,0.07631,71396,다큐멘터리,71396.38793,2012-08-30,4,574,2012-09-13,71283.69136,10454,전체관람가,18
11,최악의 이웃과 사랑에 빠지는 방법,0.021345,0.05,0,10987,0.22784000000000001,330697,멜로/로맨스,396359.2008,2016-04-07,117,732,2016-04-21,47516.76068,10472,12세이상관람가,0
12,서칭 포 슈가맨,0.021345,0.05,0,0,0.07631,71396,다큐멘터리,71396.38793,2012-10-11,25,349,2012-10-25,56346.24612,10528,전체관람가,0
13,미스터 터너,0.021345,0.05,15347,38325,0.01975,864919,드라마,864919.5959999999,2015-01-22,27,760,2015-02-05,76821.71345,10586,청소년관람불가,17
14,곤충왕국 3D,0.267262,0.05,105886,74160,0.07631,71396,다큐멘터리,71396.38793,2014-08-14,39,734,2014-08-28,127103.1038,10631,전체관람가,0
15,두 번째 스물,0.267262,0.05,303051,655833,0.01975,864919,멜로/로맨스,930581.5959999999,2016-11-03,171,1514,2016-11-17,55638.66989,10634,청소년관람불가,57
16,미스터 노바디,0.008427,0.05,73230,1150776,0.15883,470320,판타지,535982.3491,2013-10-24,22,518,2013-11-07,56010.76711,10677,15세이상관람가,10
17,그 사람 추기경,0.267262,0.05,0,0,0.07631,71396,다큐멘터리,71396.38793,2014-08-06,10,50,2014-08-20,123568.2982,10681,전체관람가,12
18,써드 퍼슨 - 감독판,0.184566,0.05,137959,1870466,0.01975,864919,드라마,1274049.715,2015-05-28,108,1442,2015-06-11,61621.62817999999,10692,청소년관람불가,0
19,마일스,0.184566,0.05,0,2872235,0.01975,864919,드라마,864919.5959999999,2016-08-10,36,617,2016-08-24,126024.3723,10866,청소년관람불가,27
20,모스트 원티드 맨,0.021345,0.05,28450,1520156,0.01975,864919,스릴러,1289250.6,2014-08-07,26,971,2014-08-21,124277.791,10920,청소년관람불가,15
21,쿼바디스,0.267262,0.05,13632,41269,0.22784000000000001,71396,다큐멘터리,71396.38793,2014-12-10,7,295,2014-12-24,77987.18538,10939,12세이상관람가,28
22,황금시대,0.008085,0.05,13195,379926,0.22784000000000001,864919,드라마,864919.5959999999,2014-10-16,58,1754,2014-10-30,57761.040089999995,10944,12세이상관람가,61
23,디태치먼트,0.184566,0.05,6919,2158216,0.01975,864919,드라마,864919.5959999999,2014-05-08,41,1310,2014-05-22,63592.62432,11035,청소년관람불가,24
24,올 이즈 로스트,0.184566,0.4,8533,326001,0.22784000000000001,864919,드라마,864919.5959999999,2013-11-07,33,961,2013-11-21,55638.66989,11047,12세이상관람가,0
25,용순,0.267262,0.790536,0,117606,0.15883,864919,드라마,864919.5959999999,2017-06-08,117,1236,2017-06-22,60570.8087,11116,15세이상관람가,73
26,몽키킹2: 서유기 여정의 시작,0.008085,0.05,1167,275908,0.22784000000000001,744323,액션,1214643.846,2016-05-19,54,1113,2016-06-02,64895.653060000004,11141,12세이상관람가,0
27,"알로, 슈티",0.021345,0.05,20383,77546,0.22784000000000001,330697,코미디,330697.2008,2015-07-02,32,710,2015-07-16,83996.12402,11182,12세이상관람가,11
28,범죄소년,0.267262,0.05,29627,2565482,0.15883,864919,드라마,864919.5959999999,2012-11-22,55,885,2012-12-06,65038.587779999994,11210,15세이상관람가,78
29,산이 울다,0.008085,0.05,0,0,0.15883,864919,드라마,930581.5959999999,2016-05-25,89,777,2016-06-08,70868.48313,11238,15세이상관람가,14
30,로얄 어페어,0.021345,0.05,94862,1000199,0.01975,864919,멜로/로맨스,930581.5959999999,2012-12-27,16,471,2013-01-10,87222.04942000001,11264,청소년관람불가,18
31,라이드 : 나에게로의 여행,0.184566,0.05,75,1040238,0.15883,864919,드라마,864919.5959999999,2015-07-16,29,881,2015-07-30,86105.17686,11281,15세이상관람가,17
32,코스모폴리스,0.008427,0.05,41628,5195549,0.01975,864919,드라마,864919.5959999999,2013-06-27,23,789,2013-07-11,75850.10167,11295,청소년관람불가,0
33,썸니아,0.184566,0.05,305682,330939,0.15883,470320,판타지,631910.1904,2016-05-25,170,1234,2016-06-08,70868.48313,11301,15세이상관람가,0
34,황제펭귄 펭이와 솜이,0.267262,0.05,58574,2266316,0.07631,71396,다큐멘터리,71396.38793,2012-08-08,48,607,2012-08-22,125501.8383,11418,전체관람가,73
35,아무도 머물지 않았다,0.021345,0.05,11549,82457,0.15883,864919,드라마,1208387.715,2013-12-26,24,518,2014-01-09,86880.29885,11492,15세이상관람가,31
36,검은손,0.267262,0.05,74282,692858,0.01975,161589,공포(호러),161589.8413,2015-04-16,178,2126,2015-04-30,43426.69885,11567,청소년관람불가,277
37,업 포 러브,0.021345,0.05,115609,41309,0.15883,330697,멜로/로맨스,396359.2008,2016-12-21,42,389,2017-01-04,79563.15071,11572,15세이상관람가,12
38,달팽이의 별,0.267262,0.05,777,0,0.07631,71396,다큐멘터리,71396.38793,2012-03-22,33,699,2012-04-05,44832.70128,11583,전체관람가,19
39,안녕?! 오케스트라,0.267262,0.05,614009,0,0.07631,71396,다큐멘터리,74180.38793,2013-11-28,47,418,2013-12-12,73085.44676,11630,전체관람가,16
40,잉여들의 히치하이킹,0.267262,0.312821,0,0,0.22784000000000001,71396,다큐멘터리,71396.38793,2013-11-28,30,607,2013-12-12,73085.44676,11633,12세이상관람가,25
41,터치,0.267262,0.05,5255,4657110,0.01975,864919,드라마,864919.5959999999,2012-11-08,88,892,2012-11-22,55638.66989,11668,청소년관람불가,50
42,런치박스,0.008427,0.05,36523,1141267,0.22784000000000001,864919,멜로/로맨스,930581.5959999999,2014-04-10,36,783,2014-04-24,42363.009000000005,11737,12세이상관람가,13
43,네이든,0.021345,0.05,0,1653242,0.22784000000000001,864919,드라마,864919.5959999999,2015-06-25,49,737,2015-07-09,73954.2082,11748,12세이상관람가,11
44,미스터 라잇,0.184566,0.05,3375,326119,0.01975,744323,액션,1140682.6979999999,2016-06-16,66,1485,2016-06-30,62091.676920000005,11749,청소년관람불가,0
45,공정사회,0.267262,0.05,20163,6677707,0.01975,864919,드라마,1289250.6,2013-04-18,34,764,2013-05-02,44426.48242,11753,청소년관람불가,50
46,돈 존,0.184566,0.05,0,2909829,0.01975,864919,코미디,1261278.797,2014-01-09,44,1182,2014-01-23,76823.08232,11765,청소년관람불가,36
47,도성풍운 3,0.008085,0.05,50714,186227,0.15883,864919,코미디,1195616.797,2016-11-30,51,1839,2016-12-14,78346.06709,11790,15세이상관람가,0
48,타투,0.267262,0.05,1326052,868685,0.01975,424331,스릴러,424331.00399999996,2015-12-10,81,1620,2015-12-24,78482.04272,11839,청소년관람불가,31
49,쿵푸 요가,0.008085,0.05,203047,428445,0.22784000000000001,744323,액션,1696610.135,2017-03-29,103,1190,2017-04-12,43802.54319,11871,12세이상관람가,10
50,랜드 오브 마인,0.021345,0.05,0,10186,0.15883,864919,드라마,1151077.384,2017-04-06,97,1141,2017-04-20,42363.009000000005,11871,15세이상관람가,21
51,인 더 하우스,0.021345,0.05,9987,45440,0.15883,864919,스릴러,1289250.6,2013-07-04,25,767,2013-07-18,83996.12402,11976,15세이상관람가,0
52,시선,0.267262,0.05,119915,269432,0.22784000000000001,864919,드라마,864919.5959999999,2014-04-16,87,563,2014-04-30,43159.58494,12115,12세이상관람가,100
53,이다,0.021345,0.05,5245,5498,0.15883,864919,드라마,864919.5959999999,2015-02-18,28,657,2015-03-04,95095.99878,12232,15세이상관람가,0
54,어우동: 주인 없는 꽃,0.267262,0.05,2785,4082831,0.01975,65662,멜로/로맨스,65662.0,2015-01-29,15,625,2015-02-12,71732.8706,12270,청소년관람불가,14
55,부에노스 아이레스에서 사랑에 빠질 확률,0.008427,0.05,0,0,0.15883,864919,코미디,1195616.797,2013-09-12,10,247,2013-09-26,93600.34137000001,12349,15세이상관람가,10
56,브로큰 시티,0.184566,0.05,108775,1860460,0.15883,744323,범죄,1309130.959,2013-04-04,79,1852,2013-04-18,42363.009000000005,12359,15세이상관람가,13
57,토니 에드만,0.021345,0.05,0,0,0.01975,864919,드라마,864919.5959999999,2017-03-16,60,858,2017-03-30,46990.63343,12380,청소년관람불가,37
58,익스트림 No.13,0.184566,0.05,821,1704385,0.01975,424331,스릴러,424331.00399999996,2012-10-03,9,117,2012-10-17,62584.138770000005,12386,청소년관람불가,0
59,세이빙 미스터 뱅크스,0.184566,1.350294,134949,1545501,0.22784000000000001,864919,코미디,1195616.797,2014-04-03,54,993,2014-04-17,42363.009000000005,12445,12세이상관람가,0
60,사랑은 타이핑 중!,0.021345,0.05,0,0,0.15883,330697,멜로/로맨스,396359.2008,2013-05-22,98,760,2013-06-05,62104.574,12508,15세이상관람가,0
61,퍼스널 쇼퍼,0.021345,0.05,11169,608924,0.15883,864919,드라마,1289250.6,2017-02-09,79,1113,2017-02-23,71919.98014,12547,15세이상관람가,19
62,해피 홀리데이,0.021345,0.05,0,823619,0.22784000000000001,864919,코미디,1195616.797,2015-05-14,93,1163,2015-05-28,65189.3671,12579,12세이상관람가,0
63,유아 넥스트,0.184566,0.05,11628,349710,0.01975,744323,공포(호러),905913.338,2014-08-07,78,1822,2014-08-21,124277.791,12618,청소년관람불가,0
64,조난자들,0.267262,0.809701,24595,1501846,0.15883,424331,미스터리,767799.1234,2014-03-06,45,783,2014-03-20,45839.64887,12644,15세이상관람가,66
65,지상의 별처럼,0.008427,0.05,46439,101317,0.07631,864919,드라마,864919.5959999999,2012-09-06,19,660,2012-09-20,65957.55419,12688,전체관람가,0
66,사랑이 이긴다,0.267262,0.05,5868,464196,0.15883,864919,가족,1147617.755,2015-09-10,48,2733,2015-09-24,65957.55419,12709,15세이상관람가,38
67,슈퍼소닉,0.021345,0.05,349,0,0.15883,71396,다큐멘터리,71396.38793,2016-11-24,38,1721,2016-12-08,69048.47451,12729,15세이상관람가,0
68,셰임,0.021345,0.05,252465,307679,0.01975,864919,드라마,864919.5959999999,2013-05-09,33,1188,2013-05-23,70236.35282,12768,청소년관람불가,12
69,스톤,0.267262,0.05,0,2166130,0.15883,864919,액션,1609243.093,2014-06-12,148,1374,2014-06-26,62091.676920000005,12773,15세이상관람가,59
70,엘리펀트 송,0.008427,0.05,0,20948,0.15883,864919,미스터리,1208387.715,2015-06-11,46,1329,2015-06-25,62091.676920000005,12782,15세이상관람가,0
71,누구에게나 찬란한,0.267262,0.312821,39072,1746086,0.07631,71396,다큐멘터리,71396.38793,2014-11-06,42,369,2014-11-20,55638.66989,12799,전체관람가,44
72,할리데이,0.021345,0.05,84773,0,0.15883,65662,뮤지컬,330265.4583,2014-10-16,147,1248,2014-10-30,57761.040089999995,12849,15세이상관람가,0
73,말하는 건축가,0.267262,0.05,29268,5750,0.07631,71396,다큐멘터리,71396.38793,2012-03-08,19,505,2012-03-22,45839.64887,12854,전체관람가,42
74,춘몽,0.267262,0.05,8554,2588731,0.15883,864919,드라마,864919.5959999999,2016-10-13,95,1493,2016-10-27,57761.040089999995,12979,15세이상관람가,1526
75,하나와 미소시루,0.010716,0.05,0,87275,0.07631,864919,가족,1147617.755,2016-04-27,74,702,2016-05-11,77485.73525,13068,전체관람가,0
76,그랑블루 리마스터링 감독판,0.021345,0.05,249530,137942,0.15883,864919,멜로/로맨스,930581.5959999999,2013-07-25,33,793,2013-08-08,98997.31175,13071,15세이상관람가,17
77,눈발,0.267262,0.05,0,202950,0.15883,864919,드라마,864919.5959999999,2017-03-01,64,2496,2017-03-15,51127.32235,13335,15세이상관람가,240
78,빌리 엘리어트 뮤지컬 라이브,0.184566,0.4,191056,0,0.07631,2784,뮤지컬,267387.4583,2014-11-27,36,711,2014-12-11,70538.38762000001,13378,전체관람가,0
79,홀리 모터스,0.021345,0.05,35194,234432,0.01975,864919,드라마,864919.5959999999,2013-04-04,32,1041,2013-04-18,42363.009000000005,13380,청소년관람불가,17
80,테레즈 라캥,0.184566,0.05,0,2528195,0.01975,864919,범죄,1854058.062,2014-07-10,46,1259,2014-07-24,83996.12402,13391,청소년관람불가,13
81,환상의 빛,0.010716,0.05,50077,31017,0.15883,864919,드라마,864919.5959999999,2016-07-07,35,974,2016-07-21,83996.12402,13478,15세이상관람가,46
82,그 사람 그 사랑 그 세상,0.267262,0.05,94767,1098901,0.07631,71396,다큐멘터리,71396.38793,2014-11-20,46,1141,2014-12-04,61104.819410000004,13572,전체관람가,12
83,트윈스터즈,0.184566,0.312821,0,0,0.22784000000000001,71396,다큐멘터리,71396.38793,2016-03-03,118,1045,2016-03-17,45839.64887,13581,12세이상관람가,26
84,비거 스플래쉬,0.021345,0.05,34269,1994051,0.01975,65662,멜로/로맨스,65662.0,2016-08-03,19,377,2016-08-17,126024.3723,13617,청소년관람불가,0
85,로즈,0.021345,0.05,30764,4164120,0.15883,864919,멜로/로맨스,930581.5959999999,2017-04-12,106,1037,2017-04-26,43159.58494,13620,15세이상관람가,27
86,디시에르토,0.008427,0.05,0,298286,0.15883,864919,드라마,1289250.6,2016-10-05,119,2274,2016-10-19,55990.962889999995,13634,15세이상관람가,13
87,대학살의 신,0.021345,0.05,115935,1238238,0.15883,864919,드라마,1195616.797,2012-08-16,34,950,2012-08-30,112522.2276,13658,15세이상관람가,24
88,캡틴 판타스틱,0.184566,0.05,0,1149557,0.15883,864919,드라마,864919.5959999999,2016-11-30,86,2260,2016-12-14,78346.06709,13727,15세이상관람가,0
89,자객 섭은낭,0.008085,0.05,7318,615576,0.22784000000000001,1040302,사극,1784626.247,2016-02-04,49,855,2016-02-18,101908.3846,13727,12세이상관람가,60
90,어느 하녀의 일기,0.021345,0.05,3721,296042,0.01975,864919,드라마,864919.5959999999,2015-08-06,35,1828,2015-08-20,124277.791,13738,청소년관람불가,10
