,movie_name,movie_code,director_name,director_code,release_date,nation
0, 다크아워,20113652,크리스 고락,10077008,2012-01-05,미국
1, 덴 쉬 파운드 미,20078827,헬렌 헌트,10088926,2012-01-05,미국
2, 밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,닐스 아르덴 오플레브,20125859,2012-01-05,스웨덴
3, 송곳니,20113591,요르고스 란티모스,10065698,2012-01-05,그리스
4, 원더풀 라디오,20113671,권칠인,10002537,2012-01-05,한국
5, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,2012-01-05,스페인
6, 밀레니엄 : 여자를 증오한 남자들,20110882,데이빗 핀처,10012198,2012-01-11,미국
7, 초한지 - 천하대전,20113883,이인항,10057088,2012-01-11,중국
8, 밍크코트,20112781,신아가|이상철,10040487|10055906,2012-01-12,한국
9, 세 번째 사랑,20113491,리처드 J. 루이스,20125878,2012-01-12,캐나다
10, 요나요나 펭귄,20112936,린 타로,10020849,2012-01-12,일본
11, 원스 어게인,20113822,카를로 미라벨라 데이비스|크리스 답킨스|닉 어거스트 페르나,20125869|20125871|20125870,2012-01-12,미국
12, 장화신은 고양이,20113862,크리스 밀러,10077075,2012-01-12,미국
13, 코알라 키드 : 영웅의 탄생,20113811,이경호,20111323,2012-01-12,한국
14, 네버엔딩 스토리,20113636,정용주,10062013,2012-01-18,한국
15, 댄싱퀸,20113743,이석훈,10055965,2012-01-18,한국
16, 부러진 화살,20113535,정지영,10062253,2012-01-18,한국
17, 우리는 동물원을 샀다,20113472,카메론 크로우,10073715,2012-01-18,미국
18, 페이스메이커,20113951,김달중,20115721,2012-01-18,한국
19, 걸스,20124144,필국지,10086325,2012-01-19,홍콩
20, 신과 인간,20124114,자비에 보브와,10059215,2012-01-19,프랑스
21, 잃어버린 세계를 찾아서 2: 신비의 섬,20113653,브래드 페이튼,10032200,2012-01-19,미국
22, 자전거 탄 소년,20113481,장 피에르 다르덴 |뤽 다르덴,10059951|10019001,2012-01-19,벨기에
23, 가슴 배구단,20124022,하스미 에이이치로,10086985,2012-01-26,일본
24, 강철의 연금술사 : 미로스의 성스러운 별,20113914,무라타 카즈야,20126055,2012-01-26,일본
25, 댄싱 채플린,20124097,수오 마사유키,10037547,2012-01-26,일본
26, 도망자,20124135,에릭 바레트,10048111,2012-01-26,프랑스
27, 엘리노의 비밀,20113512,도미니크 몽페리,20126029,2012-01-26,프랑스
28, 원피스 3D : 밀짚모자 체이스,20124098,사토 히로유키,20126054,2012-01-26,일본
29, 점박이:한반도의 공룡3D,20100215,한상호,10087513,2012-01-26,한국
30, 퍼스널 이펙츠,20113974,데이빗 홀랜더,10012244,2012-01-26,미국
31, 안나볼레나,20124209,데이비드 멕비카,20169600,2012-02-01,미국
32, 파파,20113643,한지승,10087753,2012-02-01,한국
33, 뱅뱅클럽,20124095,스티븐 실버,20126105,2012-02-02,캐나다
34, 범죄와의 전쟁: 나쁜놈들 전성시대,20113557,윤종빈,10054495,2012-02-02,한국
35, 웰컴 투 마이 하트,20113492,제이크 스콧,10063805,2012-02-02,영국
36, 하이힐을 신고 달리는 여자,20113881,더글라스 맥그래스,10010518,2012-02-02,미국
37, 해피 피트 2,20113911,조지 밀러,10067085,2012-02-02,호주
38, 변태 전화방,20124390,사노 카즈히로,20166558,2012-02-07,일본
39, 보내주고싶은 여자,20124393,후쿠오카 요시호,20129272,2012-02-07,일본
40, 부드러운 살결,20124392,사토 히사야스,10034623,2012-02-07,일본
41, 욕망 전차,20124389,제제 다카히사,10064512,2012-02-07,일본
42, 전성계비,20124716,진목승,10070469,2012-02-07,홍콩
43, 하고싶어,20124391,사토 토시키,10034619,2012-02-07,일본
44,  sm 헌터,20124394,카타오카 슈지,20115338,2012-02-07,일본
45, 두 개의 선,20110608,지민,10069936,2012-02-09,한국
46, 미스터 나이스,20124126,버나드 로즈,10030459,2012-02-09,영국
47, 스롤란 마이러브,20124138,데틀레프 북,10012395,2012-02-09,독일
48, 슬랩스틱 브라더스,20124094,시나가와 히로시,10039764,2012-02-09,일본
49, 양문여장,20124720,진훈기,10070738,2012-02-09,중국
50, 워 호스,20124099,스티븐 스필버그,10039450,2012-02-09,미국
51, 컷,20113721,아미르 나데리,10041990,2012-02-09,일본
52, 토르: 마법망치의 전설,20113920,오스카 요나손|토비 젠켈|거나 칼슨,20115575|20115576|20126130,2012-02-09,아이슬란드
53, 팅커 테일러 솔저 스파이,20124134,토마스 알프레드슨 ,10080501,2012-02-09,영국
54, 고스트 라이더 : 복수의 화신,20113890,마크 네빌딘|브라이언 테일러,10024036|10031946,2012-02-16,미국
55, 더 그레이,20124021,조 카나한,10065143,2012-02-16,미국
56, 디센던트,20113981,알렉산더 페인,10044581,2012-02-16,미국
57, 아티스트,20113918,미셀 하자나비시우스,20126930,2012-02-16,미국
58, 우먼 인 블랙,20113975,제임스 왓킨스,10064256,2012-02-16,영국
59, 원 포 더 머니,20124023,줄리 앤 로빈슨,20126433,2012-02-16,미국
60, 하울링,20110249,유하,20111250,2012-02-16,한국
61, 레전드 오브 래빗,20113982,순리준,20126389,2012-02-22,중국
62, 맨 온 렛지,20124420,애스게르 레스,10042276,2012-02-22,미국
63, 언더월드 4: 어웨이크닝,20124746,만스 말린드|비욘 스테인,10024905|10032348,2012-02-22,미국
64, 나루토 질풍전 극장판: 블러드 프리즌,20124204,무라타 마사히코,20115529,2012-02-23,일본
65, 닌자보이 란타로 극장판 : 시끌벅적 방학숙제 대소동,20124166,후지모리 마사야,20113581,2012-02-23,일본
66, 더 데이,20124808,백창주,20127311,2012-02-23,한국
67, 볼츠와 블립 ,20119424,피터 레페니오티스,20111790,2012-02-23,한국
68, 빅 미라클,20124011,켄 콰피스,10075936,2012-02-23,미국
69, 움,20124167,베네덱 플리고프,20126367,2012-02-23,독일
70, 천사의 숨소리,20110894,한지원,10087755,2012-02-23,한국
71, 철의 여인,20113912,필리다 로이드 ,10086341,2012-02-23,영국
72, 토리노의 말,20124427,벨라 타르,10031292,2012-02-23,헝가리
73, 돈 지오반니,20124361,마이클 그랑디지,20166301,2012-02-29,미국
74, 돌아온 파워레인저 미라클포스,20124738,나가이시 다카오,10006683,2012-02-29,일본
75, 디스 민즈 워,20124096,맥지,10025471,2012-02-29,미국
76, 러브픽션,20113916,전계수,10061220,2012-02-29,한국
77, 마릴린 먼로와 함께한 일주일,20124186,사이먼 커티스,10034374,2012-02-29,영국
78, 만화방,20113322,허재형,10088433,2012-02-29,한국
79, 밀림의 왕자 레오: 세상을 바꾸는 용기,20124552,타니구치 고로,10079027,2012-02-29,일본
80, 비스트 앵콜 콘서트  3D,20124872,손석,20111906,2012-02-29,한국
81, 세이프 하우스,20124449,다니엘 에스피노사,20126431,2012-02-29,미국
82, 액트 오브 밸러: 최정예 특수부대 ,20124609,마이크 맥코이|스캇 워프,20126695|20126696,2012-02-29,미국
83, 휴고,20124551,마틴 스콜세지,10024735,2012-02-29,미국
84," 열여덟, 열아홉",20124381,배광수,20126213,2012-03-01,한국
85, 줄탁동시,20110985,김경묵,10003537,2012-03-01,한국
86, 가시,20112690,김중현,10005808,2012-03-08,한국
87, 로맨스 조,20112841,이광국,10054828,2012-03-08,한국
88, 말하는 건축가,20112808,정재은,10062188,2012-03-08,한국
89, 밀월도 가는 길,20112018,양정호,20114312,2012-03-08,한국
90, 스탠리의 도시락 ,20124726,아몰 굽트,20127325,2012-03-08,인도
91, 은실이,20112861,김선아|박세희,20113131|20114946,2012-03-08,한국
92, 존 카터: 바숨 전쟁의 서막 ,20124629,앤드류 스탠튼,10045926,2012-03-08,미국
93, 태어나서 미안해,20112071,최영석,10072471,2012-03-08,한국
94, 화차,20124050,변영주,10031365,2012-03-08,한국
95, 서약,20124874,마이클 수치,10023193,2012-03-14,미국
96, 가비,20111774,장윤현,10060414,2012-03-15,한국
97, 마이 백 페이지,20113483,야마시타 노부히로,10046558,2012-03-15,일본
98, 야색야동,20125336,이세일,10056085,2012-03-15,한국
99, 용문비갑,20124944,서극,10035347,2012-03-15,중국
100, 저스티스,20124932,로저 도널드슨,10017708,2012-03-15,미국
101, 청춘그루브,20116038,변성현,10031356,2012-03-15,한국
102, 크로니클,20124666,조쉬 트랭크,20126769,2012-03-15,미국
103, 킬링 타임,20119516,박성수 ,20111994,2012-03-15,한국
104, 핑크,20112702,전수일,10061331,2012-03-15,한국
105, 홈 스위트 홈,20111957,문시현,20112401,2012-03-15,한국
106, 단지부인 오후의 불륜,20125323,사토 토시키,10034619,2012-03-21,일본
107, 목마른 그녀의 금단의 사랑,20125325,사노 가즈히로,10033798,2012-03-21,일본
108, 몰래 보고 싶은 여인,20125324,스즈키 토시히사,20166477,2012-03-21,일본
109, 백의의 유부녀-굶주린 형수님,20125321,우에노 토시야,20166467,2012-03-21,일본
110, 빨간 욕정-꿈의 정사,20125322,우에노 토시야,20166467,2012-03-21,일본
111, 가을 소나타,20070396,잉마르 베리만,10059012,2012-03-22,스웨덴
112, 건축학개론,20124074,이용주,10056822,2012-03-22,한국
113, 달팽이의 별,20100752,이승준,10056267,2012-03-22,한국
114, 밀레니엄 : 제2부 불을 가지고 노는 소녀,20124906,다니엘 알프레드슨,10009399,2012-03-22,스웨덴
115, 스페이스 독,20124939,이나 예블라니코바|스비야토슬라브 우샤코프 ,10048638|20127323,2012-03-22,러시아
116, 양자탄비 ,20124951,강문,10000589,2012-03-22,중국
117, 언터처블: 1%의 우정,20124142,올리비에르 나카체|에릭 토레다노,20126649|20126650,2012-03-22,프랑스
118, 콘트라밴드,20124873,발타자르 코루마쿠르,10029772,2012-03-22,미국
119, 해로 (偕老),20111074,최종태,10072725,2012-03-22,한국
120, 교수와 여제자2,20125127,장 클로드 브리소,10059888,2012-03-28,프랑스
121, 그녀가 떠날 때,20124947,페오 알라다그,20127330,2012-03-29,독일
122, 데드 앤 곤,20125366,요시 새슨,20127581,2012-03-29,미국
123, 디어 한나,20113485,패디 콘시딘,10082446,2012-03-29,영국
124, 세이지: 육지의 물고기,20125148,이세야 유스케,10056081,2012-03-29,일본
125, 시체가 돌아왔다,20124051,우선호,10052136,2012-03-29,한국
126, 전쟁 주식회사,20088391,조슈아 세프텔,10066333,2012-03-29,미국
127, 타이탄의 분노,20124717,조나단 리브스만,10065332,2012-03-29,미국
128," 혜원아, 사랑해",20113991,김기현,10003742,2012-03-29,한국
129, 지크프리트,20124362,로베르트 르빠쥬,20166320,2012-04-04,미국
130, 밀레니엄 : 제3부 벌집을 발로 찬 소녀,20124907,다니엘 알프레드슨,10009399,2012-04-05,스웨덴
131, 별이 빛나는 밤,20113723,수유 린,10037555,2012-04-05,대만
