,movie_name,movie_code,director_name,director_code,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
0, 다크아워,20113652,크리스 고락,10077008,미국,2012-01-05,2012-01-05,305,22325,2012-01-18,162604
1, 덴 쉬 파운드 미,20078827,헬렌 헌트,10088926,미국,2012-01-05,2012-01-05,1,7,2012-01-18,0
2, 밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,닐스 아르덴 오플레브,20125859,스웨덴,2012-01-05,2012-01-05,6,107,2012-01-18,1554
3, 송곳니,20113591,요르고스 란티모스,10065698,그리스,2012-01-05,2012-01-05,1,44,2012-01-18,400
4, 원더풀 라디오,20113671,권칠인,10002537,한국,2012-01-05,2012-01-05,421,60371,2012-01-18,882472
5, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962
6, 밀레니엄 : 여자를 증오한 남자들,20110882,데이빗 핀처,10012198,미국,2012-01-11,2012-01-11,195,11033,2012-01-24,384526
7, 초한지 - 천하대전,20113883,이인항,10057088,중국,2012-01-11,2012-01-11,97,2636,2012-01-24,91447
8, 밍크코트,20112781,신아가|이상철,10040487|10055906,한국,2012-01-12,2012-01-12,13,149,2012-01-25,1872
9, 세 번째 사랑,20113491,리처드 J. 루이스,20125878,캐나다,2012-01-12,2012-01-12,15,431,2012-01-25,7284
10, 요나요나 펭귄,20112936,린 타로,10020849,일본,2012-01-12,2012-01-12,45,336,2012-01-25,0
11, 원스 어게인,20113822,카를로 미라벨라 데이비스|크리스 답킨스|닉 어거스트 페르나,20125869|20125871|20125870,미국,2012-01-12,2012-01-12,28,882,2012-01-25,9655
12, 장화신은 고양이,20113862,크리스 밀러,10077075,미국,2012-01-12,2012-01-12,506,79382,2012-01-25,1571937
13, 코알라 키드 : 영웅의 탄생,20113811,이경호,20111323,한국,2012-01-12,2012-01-12,214,8326,2012-01-25,172965
14, 네버엔딩 스토리,20113636,정용주,10062013,한국,2012-01-18,2012-01-18,232,20049,2012-01-31,279220
15, 댄싱퀸,20113743,이석훈,10055965,한국,2012-01-18,2012-01-18,403,46500,2012-01-31,2300976
16, 부러진 화살,20113535,정지영,10062253,한국,2012-01-18,2012-01-18,245,30872,2012-01-31,2090074
17, 우리는 동물원을 샀다,20113472,카메론 크로우,10073715,미국,2012-01-18,2012-01-18,221,11972,2012-01-31,267290
18, 페이스메이커,20113951,김달중,20115721,한국,2012-01-18,2012-01-18,360,22553,2012-01-31,450072
19, 걸스,20124144,필국지,10086325,홍콩,2012-01-19,2012-01-19,1,0,2012-02-01,0
20, 신과 인간,20124114,자비에 보브와,10059215,프랑스,2012-01-19,2012-01-19,1,318,2012-02-01,4613
21, 잃어버린 세계를 찾아서 2: 신비의 섬,20113653,브래드 페이튼,10032200,미국,2012-01-19,2012-01-19,283,46776,2012-02-01,1091130
22, 자전거 탄 소년,20113481,장 피에르 다르덴 |뤽 다르덴,10059951|10019001,벨기에,2012-01-19,2012-01-19,20,864,2012-02-01,14754
23, 가슴 배구단,20124022,하스미 에이이치로,10086985,일본,2012-01-26,2012-01-26,1,16,2012-02-08,123
24, 강철의 연금술사 : 미로스의 성스러운 별,20113914,무라타 카즈야,20126055,일본,2012-01-26,2012-01-26,36,435,2012-02-08,0
25, 댄싱 채플린,20124097,수오 마사유키,10037547,일본,2012-01-26,2012-01-26,5,31,2012-02-08,506
26, 도망자,20124135,에릭 바레트,10048111,프랑스,2012-01-26,2012-01-26,2,38,2012-02-08,368
27, 엘리노의 비밀,20113512,도미니크 몽페리,20126029,프랑스,2012-01-26,2012-01-26,2,9,2012-02-08,250
28, 원피스 3D : 밀짚모자 체이스,20124098,사토 히로유키,20126054,일본,2012-01-26,2012-01-26,103,2014,2012-02-08,0
29, 점박이:한반도의 공룡3D,20100215,한상호,10087513,한국,2012-01-26,2012-01-26,263,35458,2012-02-08,689892
30, 퍼스널 이펙츠,20113974,데이빗 홀랜더,10012244,미국,2012-01-26,2012-01-26,12,201,2012-02-08,2759
