,movie_name,director_average
0, 다크아워,0
1, 덴 쉬 파운드 미,15190
2, 밀레니엄 제 1부 : 여자를 증오한 남자들,18179
3, 송곳니,57721
4, 원더풀 라디오,610392
5, 치코와 리타,21336
6, 밀레니엄 : 여자를 증오한 남자들,606131
7, 초한지 - 천하대전,173608
8, 밍크코트,264889
9, 세 번째 사랑,0
10, 요나요나 펭귄,3291
11, 원스 어게인,0
12, 장화신은 고양이,1248461
13, 코알라 키드 : 영웅의 탄생,178601
14, 네버엔딩 스토리,831933
15, 댄싱퀸,4519762
16, 부러진 화살,74741
17, 우리는 동물원을 샀다,272262
18, 페이스메이커,0
19, 걸스,740
20, 신과 인간,0
21, 잃어버린 세계를 찾아서 2: 신비의 섬,614667
22, 자전거 탄 소년,15900
23, 가슴 배구단,1992
24, 강철의 연금술사 : 미로스의 성스러운 별,0
25, 댄싱 채플린,90218
26, 도망자,0
27, 엘리노의 비밀,18020
28, 원피스 3D : 밀짚모자 체이스,0
29, 점박이:한반도의 공룡3D,0
30, 퍼스널 이펙츠,0
31, 안나볼레나,0
32, 파파,221528
33, 뱅뱅클럽,0
34, 범죄와의 전쟁: 나쁜놈들 전성시대,1837650
35, 웰컴 투 마이 하트,0
36, 하이힐을 신고 달리는 여자,26318
37, 해피 피트 2,538384
38, 변태 전화방,2
39, 보내주고싶은 여자,0
40, 부드러운 살결,0
41, 욕망 전차,5523
42, 전성계비,114533
43, 하고싶어,31
44,  sm 헌터,8
45, 두 개의 선,0
46, 미스터 나이스,58703
47, 스롤란 마이러브,0
48, 슬랩스틱 브라더스,54
49, 양문여장,12616
50, 워 호스,835147
51, 컷,0
52, 토르: 마법망치의 전설,150378
53, 팅커 테일러 솔저 스파이,87908
54, 고스트 라이더 : 복수의 화신,205231
55, 더 그레이,340090
56, 디센던트,100424
57, 아티스트,0
58, 우먼 인 블랙,96579
59, 원 포 더 머니,0
60, 하울링,1930488
61, 레전드 오브 래빗,0
62, 맨 온 렛지,0
63, 언더월드 4: 어웨이크닝,0
64, 나루토 질풍전 극장판: 블러드 프리즌,11221
65, 닌자보이 란타로 극장판 : 시끌벅적 방학숙제 대소동,35709
66, 더 데이,0
67, 볼츠와 블립 ,478392
68, 빅 미라클,478678
69, 움,0
70, 천사의 숨소리,0
71, 철의 여인,4554785
72, 토리노의 말,0
73, 돈 지오반니,0
74, 돌아온 파워레인저 미라클포스,0
75, 디스 민즈 워,1722962
76, 러브픽션,7438
77, 마릴린 먼로와 함께한 일주일,144154
78, 만화방,0
79, 밀림의 왕자 레오: 세상을 바꾸는 용기,0
80, 비스트 앵콜 콘서트  3D,19144
81, 세이프 하우스,160563
82, 액트 오브 밸러: 최정예 특수부대 ,105340
83, 휴고,264209
84," 열여덟, 열아홉",1295517
85, 줄탁동시,2898
86, 가시,0
87, 로맨스 조,65840
88, 말하는 건축가,29268
