,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day14_date,day14_audience
0,스탠리의 도시락 ,인도,타임스토리그룹(주),23406,0,전체관람가,드라마|코미디,2012-03-08,125,1601,2012-03-21,42943
1,어느 예술가의 마지막 일주일,프랑스,프리비젼엔터테인먼트,11575,172150,15세이상관람가,드라마,2013-06-20,16,437,2013-07-03,9873
2,파라다이스 키스,일본,(주)미디어이야기 ,22971,0,15세이상관람가,드라마,2013-06-20,5,339,2013-07-03,1572
3,치코와 리타,스페인,찬란,21336,0,15세이상관람가,애니메이션|멜로/로맨스,2012-01-05,15,436,2012-01-18,7962
4,슈퍼피쉬 - 끝없는 여정,한국,(주)씨타마운틴픽쳐스|(주)팝엔터테인먼트,0,1070178,전체관람가|전체관람가,다큐멘터리,2013-07-11,12,477,2013-07-24,2118
5,라스트 엑소시즘: 잠들지 않는 영혼,미국,(주)팝파트너스,0,0,15세이상관람가,공포(호러)|스릴러,2013-06-27,87,1124,2013-07-10,9372
6,다크아워,미국,이십세기폭스코리아(주),0,0,12세이상관람가|12세이상관람가,SF|액션,2012-01-05,305,22325,2012-01-18,162604
7,밍크코트,한국,㈜인디스토리,264889,1660,15세이상관람가,드라마,2012-01-12,13,149,2012-01-25,1872
8,유니버셜 솔저4: 클론의 반란,미국,(유)조이앤컨텐츠그룹,1628,0,청소년관람불가,액션|SF,2013-06-20,1,14,2013-07-03,1252
9,에어라인 플라이트,미국,(유)조이앤컨텐츠그룹,0,0,15세이상관람가,스릴러|액션,2013-07-18,2,180,2013-07-31,2240
10,밀프,미국,(주)스넵쏘울,1332,0,청소년관람불가,코미디|드라마,2013-06-20,0,0,2013-07-03,708
11,존 카터: 바숨 전쟁의 서막 ,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,1736325,2435152,12세이상관람가|12세이상관람가,SF|액션,2012-03-08,462,41747,2012-03-21,717951
12,쿵후팬더: 영웅의 탄생,중국,(주)미디어데이,0,946744,전체관람가,애니메이션,2013-07-04,90,923,2013-07-17,72899
13,빅 픽처,프랑스,(주)드림웨스트픽쳐스,43739,95187,청소년관람불가,드라마,2013-07-04,19,758,2013-07-17,13295
14,밀레니엄 제 1부 : 여자를 증오한 남자들,스웨덴,팝엔터테인먼트,18179,334027,청소년관람불가,스릴러,2012-01-05,6,107,2012-01-18,1554
15,48미터,한국,씨제이이앤엠(주),0,337623,15세이상관람가,드라마,2013-07-04,34,549,2013-07-17,9968
16,퓨어,스웨덴,㈜영화사 백두대간,0,338972,청소년관람불가,드라마,2013-06-20,1,68,2013-07-03,1054
17,세상은 가끔 아름답다,일본,(주)영진크리에이티브,7294,23424,청소년관람불가,드라마,2013-06-20,0,0,2013-07-03,34
18,링,한국,㈜인디스토리,0,0,12세이상관람가,다큐멘터리,2013-07-25,19,111,2013-08-07,1537
19,팬텀: 라스트 커맨더,미국,브릿지웍스 엔터테인먼트(주),0,0,15세이상관람가,액션|스릴러,2013-07-04,42,283,2013-07-17,3777
20,컴플라이언스,미국,오드,3449,0,청소년관람불가,범죄|드라마|스릴러,2013-08-01,6,56,2013-08-14,951
21,아이다,미국,(주)인스터피씨엠,0,0,전체관람가,공연,2013-08-03,2,83,2013-08-16,715
