,movieNm,movie_code,nations,distribution,rate,genre,director,actor,cast
1,스탠리의 도시락,20124726,인도,타임스토리그룹(주),전체관람가,드라마|코미디,아몰 굽트,파토르 A. 굽트,
2,어느 예술가의 마지막 일주일,20134484,프랑스|독일|벨기에,프리비젼엔터테인먼트,15세이상관람가,드라마,마르잔 사트라피|뱅상 파로노,마티유 아말릭|마리아 드 메데이로스|이사벨라 로셀리니,나세르-알리|파린귀세|파르빈느
3,파라다이스 키스,20138861,일본,(주)미디어이야기 ,15세이상관람가,드라마,신조 타케히코,키타가와 케이코|무카이 오사무,
4,치코와 리타,20113501,스페인|영국,찬란,15세이상관람가,애니메이션|멜로/로맨스,페르난도 트루에바|하비에르 마리스칼|토노 에란도,에만 소르 오냐|리마라 메니시스,
5,슈퍼피쉬 - 끝없는 여정,20138502,한국,(주)씨타마운틴픽쳐스|(주)팝엔터테인먼트,전체관람가|전체관람가,다큐멘터리,이기연|송웅달|이지운,유동근,내레이션
6,라스트 엑소시즘: 잠들지 않는 영혼,20139222,미국,(주)팝파트너스,15세이상관람가,공포(호러)|스릴러,에드 게스-도넬리,애슐리 벨|스펜서 트리트 클라크|앤드류 센세닉,
7,다크아워,20113652,미국,이십세기폭스코리아(주),12세이상관람가|12세이상관람가,SF|액션,크리스 고락,에밀 허쉬|올리비아 썰비,
8,밍크코트,20112781,한국,㈜인디스토리,15세이상관람가,드라마,이상철|신아가,황정민|김미향|정희성|이상철|이재희|노형석|노형석|박상욱|박지만|신아가|신준호,현순|명순|교인2|회계사|아파트아이들|장발남|목소리출연|남의사|우유보급소 사장|여의사|병원환자
9,유니버셜 솔저4: 클론의 반란,20139181,미국,(유)조이앤컨텐츠그룹,청소년관람불가,액션|SF,존 하이암스,장 끌로드 반담|스콧 앳킨스,
10,에어라인 플라이트,20130669,미국,(유)조이앤컨텐츠그룹,15세이상관람가,스릴러|액션,존 윌리스 3세,메레디스 박스터|스콧 발렌타인,
11,밀프,20139843,미국,(주)스넵쏘울,청소년관람불가,코미디|드라마,스콧 휠러,잭 컬리슨|필립 말렛|조셉 부턴|라몬 카마초,
12,존 카터: 바숨 전쟁의 서막,20124629,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가|12세이상관람가,SF|액션,앤드류 스탠튼,테일러 키취|린 콜린스|윌렘 데포|사만다 모튼,
13,쿵후팬더: 영웅의 탄생,20139263,중국,(주)미디어데이,전체관람가,애니메이션,레오 로,성룡|임자총|엄상현|양유진|홍진욱|임채헌|이재인|박상훈|이재범|김경희|임경명,진바오|스카이워커|레오|마왕|고고|인삼 |강철부리 |버니|목탄
14,빅 픽처,20134044,프랑스,(주)드림웨스트픽쳐스,청소년관람불가,드라마,에릭 라티고,로맹 뒤리스|마리나 포이스|까뜨린느 드뇌브|닐스 아르스트럽|브랑카 카틱,폴 엑스벤|사라 엑스벤|앤 다마조|바르솔로므|이바나
15,밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,스웨덴|덴마크,팝엔터테인먼트,청소년관람불가,스릴러,닐스 아르덴 오플레브,미카엘 니크비스트|누미 라파스,
16,48미터,20120801,한국,씨제이이앤엠(주),15세이상관람가,드라마,민백두,박효주|이진희|하석|조한철|김광현|김용진,박선희|리성진
