,code,filmo,movie_code,average_audience
14403,20147110,루,20166384,359471
14441,10009807,리로 가는 길,20178762,484221
14440,20279251,자들,20164859,0
14406,20232987,루,20166384,0
14425,10036685,함도,20161481,735458
14430,20280689,함도,20161481,0
14405,20239826,루,20166384,0
14412,20278690,지코드,20174243,0
14444,20213906,떤 하루,20176766,48423
14423,20248075,즈: 신기한 마법가루,20177761,49958
14409,20126450, 후,20176102,14169
14415,20278872,떤 하루,20176766,0
14422,20237909,즈: 신기한 마법가루,20177761,55497
14428,20153744,함도,20161481,7592
14424,10090290,함도,20161481,3154758
14481,10037628,라우드 아틀라스,20124024,86120
14487,10050974,장판 도라에몽: 진구의 남극 꽁꽁 대모험,20179085,214671
14435,10054143,자들,20164859,380
14495,10088460,산범,20151003,32255
14445,20278871,떤 하루,20176766,0
14479,10031169,라우드 아틀라스,20124024,337056
14461,10084527, 비지터: 리턴즈,20178601,9483
14454,10063351,파이키드4 : 올더타임인더월드,20134002,210809
14404,20152117,루,20166384,419
14450,20280611,럼에도 불구하고,20155483,0
14410,10084959,지코드,20174243,0
14471,10061873,크레인,20179323,0
14427,10057329,함도,20161481,155231
14478,10070946,라우드 아틀라스,20124024,88394
14446,20278872,떤 하루,20176766,0
14452,20280594,럼에도 불구하고,20155483,0
14448,10075739,이노소어 아일랜드,20165371,0
14443,10041683,리로 가는 길,20178762,0
14484,10078730,람의 검심,20120363,60
14470,20280649,크레인,20179323,0
14455,10066614,파이키드4 : 올더타임인더월드,20134002,45271
14492,10045394,벽한 거짓말,20154523,4488
14421,20145724,즈: 신기한 마법가루,20177761,19142
14453,20280595,럼에도 불구하고,20155483,0
14429,20280389,함도,20161481,0
14524,10025047,얄 어페어,20122229,655611
14491,10024169,벽한 거짓말,20154523,2481
14527,10081113,라우드 아틀라스,20124024,541004
14420,20221054,즈: 신기한 마법가루,20177761,1211
14456,10063005,파이키드4 : 올더타임인더월드,20134002,56208
14519,20174743,풋 주니어,20178641,39063
14464,20090447, 테이블,20165001,525466
14488,10074081,장판 도라에몽: 진구의 남극 꽁꽁 대모험,20179085,215279
14504,10041490,래로 쏘아 올린 기적,20170384,0
14540,20174743,풋 주니어,20178641,39063
14496,20279330,산범,20151003,0
14460,10077934, 비지터: 리턴즈,20178601,55556
14517,20280829,우,20170723,0
14438,10051843,자들,20164859,6651
14411,10033238,지코드,20174243,0
14473,20115379, 투 송,20178646,165179
14534,10037628,라우드 아틀라스,20124024,86120
14433,10078841,"시, 뜨겁게 사랑하라!",20122005,136
14434,10082366,"시, 뜨겁게 사랑하라!",20122005,5143
14489,20169523,벽한 거짓말,20154523,16262
14437,20233666,자들,20164859,587697
14414,20278871,떤 하루,20176766,0
14474,10081113,라우드 아틀라스,20124024,541004
40,10029573,48미터,20120801,270496
14416,10057178,즈: 신기한 마법가루,20177761,12221
14449,20280593,럼에도 불구하고,20155483,0
14432,10081425,"시, 뜨겁게 사랑하라!",20122005,17890
14458,20113063,크타워: 희망의 탑,20170022,655064
