,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience,actor
13, 스탠리의 도시락 ,20124726,아몰 굽트,20127325,23406,인도,2012-03-08,2012-03-08,125,1601,2012-03-21,42943,파토르 A. 굽트
26, 어느 예술가의 마지막 일주일,20134484,마르잔 사트라피|뱅상 파로노,10021485|10030436,11575,프랑스,2013-06-20,2013-06-20,16,437,2013-07-03,9873,마티유 아말릭|마리아 드 메데이로스|이사벨라 로셀리니
32, 파라다이스 키스,20138861,신조 타케히코,20112339,22971,일본,2013-06-20,2013-06-20,5,339,2013-07-03,1572,키타가와 케이코|무카이 오사무
7, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,21336,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962,에만 소르 오냐|리마라 메니시스
63, 슈퍼피쉬 - 끝없는 여정,20138502,송웅달|이지운|이기연,20173082|20175400|20175401,0,한국,2013-07-11,2013-07-11,12,477,2013-07-24,2118,유동근
37, 라스트 엑소시즘: 잠들지 않는 영혼,20139222,에드 게스-도넬리,20175360,0,미국,2013-06-27,2013-06-27,87,1124,2013-07-10,9372,애슐리 벨|스펜서 트리트 클라크|앤드류 센세닉
1, 다크아워,20113652,크리스 고락,10077008,0,미국,2012-01-05,2012-01-05,305,22325,2012-01-18,162604,에밀 허쉬|올리비아 썰비
10, 밍크코트,20112781,신아가|이상철,10040487|10055906,264889,한국,2012-01-12,2012-01-12,13,149,2012-01-25,1872,황정민|김미향|정희성|이상철|이재희|노형석|노형석|박상욱|박지만|신아가|신준호
29, 유니버셜 솔저4: 클론의 반란,20139181,존 하이암스,10068563,1628,미국,2013-06-20,2013-06-20,1,14,2013-07-03,1252,장 끌로드 반담|스콧 앳킨스
73, 에어라인 플라이트,20130669,존 윌리스 3세,10068240,0,미국,2013-07-18,2013-07-18,2,180,2013-07-31,2240,메레디스 박스터|스콧 발렌타인
22, 밀프,20139843,스콧 휠러,20175362,1332,미국,2013-06-20,2013-06-20,0,0,2013-07-03,708,잭 컬리슨|필립 말렛|조셉 부턴|라몬 카마초
16, 존 카터: 바숨 전쟁의 서막 ,20124629,앤드류 스탠튼,10045926,1736325,미국,2012-03-08,2012-03-08,462,41747,2012-03-21,717951,테일러 키취|린 콜린스|윌렘 데포|사만다 모튼
54, 쿵후팬더: 영웅의 탄생,20139263,레오 로,20174720,0,중국,2013-07-04,2013-07-04,90,923,2013-07-17,72899,성룡|임자총|엄상현|양유진|홍진욱|임채헌|이재인|박상훈|이재범|김경희|임경명
52, 빅 픽처,20134044,에릭 라티고,10048062,43739,프랑스,2013-07-04,2013-07-04,19,758,2013-07-17,13295,로맹 뒤리스|마리나 포이스|까뜨린느 드뇌브|닐스 아르스트럽|브랑카 카틱
2, 밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,닐스 아르덴 오플레브,20125859,18179,스웨덴,2012-01-05,2012-01-05,6,107,2012-01-18,1554,미카엘 니크비스트|누미 라파스
57, 48미터,20120801,민백두,10027791,0,한국,2013-07-04,2013-07-04,34,549,2013-07-17,9968,박효주|이진희|하석|조한철|김광현|김용진
33, 퓨어,20139264,리사 랑세트,20174580,0,스웨덴,2013-06-20,2013-06-20,1,68,2013-07-03,1054,알리시아 비칸데르|사무엘 플로러
25, 세상은 가끔 아름답다,20139581,미노리카와 오사무,20174840,7294,일본,2013-06-20,2013-06-20,0,0,2013-07-03,34,에모토 아키라|마츠다 류헤이|마츠다 미유키|토야마 쿄코|이치카와 미카코
88, 링,20129099,이진혁,20121463,0,한국,2013-07-25,2013-07-25,19,111,2013-08-07,1537,박주영
56, 팬텀: 라스트 커맨더,20139403,토드 로빈슨,10080269,0,미국,2013-07-04,2013-07-04,42,283,2013-07-17,3777,에드 해리스|데이비드 듀코브니
101, 컴플라이언스,20130702,크레이그 조벨,20176442,3449,미국,2013-08-01,2013-08-01,6,56,2013-08-14,951,드리머 워커|앤 도드|팻 힐리
103, 아이다,20135270,소냐 프리셀,20174000,0,미국,2013-08-03,2013-08-03,2,83,2013-08-16,715,양소룡|진관태
6, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,21336,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962,에만 소르 오냐|리마라 메니시스
65, 슈퍼피쉬 - 끝없는 여정,20138502,송웅달|이지운|이기연,20173082|20175400|20175401,0,한국,2013-07-11,2013-07-11,12,477,2013-07-24,2118,유동근
44, 화이트 하우스 다운,20137815,롤랜드 에머리히,10018115,1343434,미국,2013-06-27,2013-06-27,457,60803,2013-07-10,562860,채닝 테이텀|제이미 폭스|매기 질렌할
9, 초한지 - 천하대전,20113883,이인항,10057088,173608,중국,2012-01-11,2012-01-11,97,2636,2012-01-24,91447,여명|유역비|풍소봉|장한위|황추생|안지걸|진소춘
46, 가면무도회,20135269,데이비드 알덴,20175820,0,미국,2013-06-29,2013-06-29,2,67,2013-07-12,400,홍완표|양현민|김영현|허준석|이재광|이창한|정현정|조휘상|강호규|강호규|김경진|김수완|황인국|김영천|노승보|박성민|박영석|심상혁|양동엽|이병헌
60, 마스터 ,20138982,폴 토마스 앤더슨,10083853,42193,미국,2013-07-11,2013-07-11,36,1404,2013-07-24,22534,호아킨 피닉스|필립 세이모어 호프만|에이미 아담스
5, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,21336,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962,에만 소르 오냐|리마라 메니시스
61, 명왕성,20120110,신수원,10040434,7850,한국,2013-07-11,2013-07-11,78,1107,2013-07-24,15019,이다윗|성준|김꽃비|김권|류경수|선주아|남태부|길해연|황정민|박현영|한솔|한창훈|황성규|조성하
31, 토토의 움직이는 숲,20126253,에스벤 토프트 야콥슨,20174581,37582,덴마크,2013-06-20,2013-06-20,99,1268,2013-07-03,61914,마르쿠스 리가드
12, 세 번째 사랑,20113491,리처드 J. 루이스,20125878,0,캐나다,2012-01-12,2012-01-12,15,431,2012-01-25,7284,폴 지아마티|로자먼드 파이크|더스틴 호프만
49, 론 레인저,20136862,고어 버빈스키,10001678,1614009,미국,2013-07-04,2013-07-04,392,42702,2013-07-17,385673,조니 뎁|아미 해머|헬레나 본햄 카터
24, 부기우기: 상위 1%의 섹스,20098216,던컨 워드,10010661,0,영국,2013-06-20,2013-06-20,1,100,2013-07-03,1514,질리언 앤더슨|아만다 사이프리드
91, 콤플렉스,20139882,나카타 히데오,10007255,87350,일본,2013-07-25,2013-07-25,3,92,2013-08-07,603,마에다 아츠코|나리미야 히로키
106, 에픽 : 숲속의 전설 ,20138202,크리스 웻지,10077179,0,미국,2013-08-07,2013-08-07,415,53747,2013-08-20,836742,아만다 사이프리드|조쉬 허처슨|콜린 파렐|제이슨 서디키스|비욘세 놀즈|조니 녹스빌|크리스토프 왈츠|스티븐 타일러|한승연|정진운
100, 이고르와 학의 여행,20130801,예프게니 루만,20176600,0,이스라엘,2013-08-01,2013-08-01,2,72,2013-08-14,1036,이타이 슈체르베크|토마슈 솝자크
125, 렛 미 아웃,20125232,소재영|김창래,10036678|10005983,1136978,한국,2013-08-15,2013-08-15,10,135,2013-08-28,722,권현상|박희본|정보람|조성민|조윤형|김남준|최진수|황상연|박종환|소민영|오다정
137, 브레이크 블레이드6: 결전의 시간,20131822,하바라 노부유시,10086861,104,일본,2013-08-22,2013-08-22,1,10,2013-09-04,90,호시 소이치로|사이토 치와
124, 그리고 싶은 것,20122121,권효,20114981,833,한국,2013-08-15,2013-08-15,23,547,2013-08-28,3639,권윤덕|심달연|세이조 타시마|케이코 하마다|김여진
69, 미스터 고,20124082,김용화,10005151,6085380,한국,2013-07-17,2013-07-17,840,94955,2013-07-30,1232663,서교|성동일|이훈민|임동욱|임승묵|임왕섭|천재성|최인호|박정훈|배지현|조재윤|변희봉|김성주|김인우|김희원
