,movie_name,movie_code,director_name,director_code,director_average,nation,release_date,day1_date,day1_screen,day1_audience,day14_date,day14_audience
428, 어린 에츠코의 고민,20135966,조조 히데오,10066963,89,일본,2013-10-24,2013-10-24,1,10,2013-11-06,0
360, 러브씬,20130241,문인대|이정원|김두헌,20030289|10057304|10004016,1083814,한국,2013-10-03,2013-10-03,4,292,2013-10-16,0
308, 섀도우 헌터스: 뼈의 도시,20129588,해럴드 즈워트,10086779,146362,미국,2013-09-12,2013-09-12,352,34177,2013-09-25,527593
315, 퍼시 잭슨과 괴물의 바다,20137562,쏘어 프류덴탈,10040954,0,미국,2013-09-12,2013-09-12,380,12304,2013-09-25,475355
313, 카르고,20132681,이반 엔글러|랄프 에터,20178568|20178569,0,스위스,2013-09-12,2013-09-12,1,53,2013-09-25,0
304, 몬스터 대학교,20135001,댄 스캔론,20168024,0,미국,2013-09-12,2013-09-12,273,9957,2013-09-25,654597
363, 어떤 여인의 고백,20131862,아틱 라히미,10041820,0,프랑스,2013-10-03,2013-10-03,8,203,2013-10-16,1986
306, 부에노스 아이레스에서 사랑에 빠질 확률,20131281,구스타보 타레토,20177680,0,아르헨티나,2013-09-12,2013-09-12,10,247,2013-09-25,11984
305, 베이타운 디스코,20132624,배리 배틀스,20178520,0,미국,2013-09-12,2013-09-12,5,468,2013-09-25,0
343, 투 타이거,20132087,산드로 세카,20178208,0,이탈리아,2013-09-26,2013-09-26,1,510,2013-10-09,5460
8, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,21336,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962
314, 카르고,20132681,이반 엔글러|랄프 에터,20178568|20178569,0,스위스,2013-09-12,2013-09-12,1,53,2013-09-25,0
348, 이로도리 인생2막,20131086,미노리카와 오사무,20174840,6014,일본,2013-09-27,2013-09-27,1,624,2013-10-10,0
319, 아메리칸 배틀쉽,20132742,썬더 레빈,10035733,1,미국,2013-09-16,2013-09-16,2,520,2013-09-29,4882
394, 바캉스,20133569,박선욱,20110765,80,한국,2013-10-17,2013-10-17,21,1857,2013-10-30,0
326, 아브라함 링컨 VS 좀비 ,20132966,리차드 쉔크만,10020134,0,미국,2013-09-20,2013-09-20,1,680,2013-10-03,5510
327, 브랜디드,20130450,제이미 브랜드쇼|알렉산드르 듀러레인,10011420|20175940,0,미국,2013-09-25,2013-09-25,5,200,2013-10-08,0
322, 컨저링,20131381,제임스 완,10064265,1033287,미국,2013-09-17,2013-09-17,304,81130,2013-09-30,1611254
356, 정글번치 : 빙산으로의 귀환,20128079,다비드 알로|에릭 토스티,20175349|10048293,25158,프랑스,2013-10-02,2013-10-02,126,1493,2013-10-15,55992
451, 원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,20134374,손석|정치영,20111906|20111931,22079,한국,2013-10-31,2013-10-31,37,1172,2013-11-13,7746
13, 세 번째 사랑,20113491,리처드 J. 루이스,20125878,0,캐나다,2012-01-12,2012-01-12,15,431,2012-01-25,7284
456, 플라이보이스,20135385,로코 데빌리어스,10017882,2500,미국,2013-11-02,2013-11-02,1,1,2013-11-15,0
320, 알렉산더 : 절대 영웅의 탄생,20132963,이고르 카리오노프,20178740,0,러시아,2013-09-17,2013-09-17,1,203,2013-09-30,0
373, 다크 스페이스,20134005,로저 크리스찬,10017777,48567,캐나다,2013-10-10,2013-10-10,5,318,2013-10-23,0
302, 낭만파 남편의 편지,20125228,최위안,10072560,4293,한국,2013-09-12,2013-09-12,6,114,2013-09-25,1038
16, 은실이,20112861,김선아|박세희,20113131|20114946,0,한국,2012-03-08,2012-03-08,1,15,2012-03-21,194
382," 혜원아, 사랑해",20113991,김기현,10003742,5586,한국,2012-03-29,2012-03-29,2,8,2012-04-11,0
311, 야쿠자 대 닌자,20132401,마이하라 켄조,20178580,0,일본,2013-09-12,2013-09-12,1,10,2013-09-25,0
336, 벌거숭이,20125247,박상훈,20069019,0,한국,2013-09-26,2013-09-26,5,11,2013-10-09,426
440, 녹색의자 2013 - 러브 컨셉츄얼리,20123386,박철수,10029409,41329,한국,2013-10-31,2013-10-31,4,59,2013-11-13,340
316, 2차 노출,20138948,리 위,10019341,1173,중국,2013-09-12,2013-09-12,1,1,2013-09-25,0
446, 브로큰 서클,20131461,펠릭스 반 그로에니겐,10083315,0,벨기에,2013-10-31,2013-10-31,6,75,2013-11-13,1761
333, 더 클로스,20133121,저스틴 프라이스,20172071,0,미국,2013-09-26,2013-09-26,1,100,2013-10-09,0
425, 어떤 시선,20132807,박정범|신아가|이상철|민용근,10029163|10040487|10055906|10027834,255520,한국,2013-10-24,2013-10-24,24,863,2013-11-06,18378
307, 불륜의 다이어리,20132761,핫토리 미츠노리,20126350,0,일본,2013-09-12,2013-09-12,1,10,2013-09-25,0
341, 차일디쉬 게임즈,20130981,안토니오 샤바리아스,10043890,0,스페인,2013-09-26,2013-09-26,1,195,2013-10-09,0
9, 밀레니엄 : 여자를 증오한 남자들,20110882,데이빗 핀처,10012198,606131,미국,2012-01-11,2012-01-11,195,11033,2012-01-24,384526
318, 꽃과 뱀의 정사,20132825,쿠니자와 미노루,20178640,44,일본,2013-09-16,2013-09-16,1,10,2013-09-29,0
10, 초한지 - 천하대전,20113883,이인항,10057088,173608,중국,2012-01-11,2012-01-11,97,2636,2012-01-24,91447
393, 롤러코스터,20122785,하정우,10087253,955175,한국,2013-10-17,2013-10-17,354,27564,2013-10-30,268879
454, 풍운결,20134358,임초현,10058863,10216,홍콩,2013-10-31,2013-10-31,5,290,2013-11-13,1470
18, 태어나서 미안해,20112071,최영석,10072471,0,한국,2012-03-08,2012-03-08,1,6,2012-03-21,201
406, 테러라인,20133705,로버트 커비슨,20179301,0,미국,2013-10-17,2013-10-17,5,318,2013-10-30,1553
380, 전쟁 주식회사,20088391,조슈아 세프텔,10066333,0,미국,2012-03-29,2012-03-29,1,100,2012-04-11,0
324, 프리버즈: 밍쿠와 찌아의 도시 대탈출,20131001,다니엘 드 필립포|구스타보 지아니니,10086400|20176920,0,아르헨티나,2013-09-17,2013-09-17,133,2342,2013-09-30,41926
351, 댄서김의 은밀한 교수법,20133570,신혜성,20166836,64,한국,2013-10-02,2013-10-02,1,120,2013-10-15,1556
4, 송곳니,20113591,요르고스 란티모스,10065698,57721,그리스,2012-01-05,2012-01-05,1,44,2012-01-18,400
349, 리골레토,20135272,마이클 메이어,20179063,0,미국,2013-09-28,2013-09-28,2,61,2013-10-11,478
396, 백설공주: 또 다른 이야기,20133773,레이첼 골덴버그,10018353,1,미국,2013-10-17,2013-10-17,5,290,2013-10-30,5001
303, 늑대인간,20132962,후안 마르티네즈 모레노,10090527,3144,스페인,2013-09-12,2013-09-12,1,201,2013-09-25,0
432, 코알라,20125527,김주환,20112387,5091521,한국,2013-10-24,2013-10-24,59,247,2013-11-06,6039
417, 내 여친은 피규어,20130668,이시이 다카시,10056369,158,일본,2013-10-24,2013-10-24,1,130,2013-11-06,0
389, 네버다이 버터플라이,20138162,장현상,20172723,1159,한국,2013-10-17,2013-10-17,15,110,2013-10-30,1319
357, 프리즈너스,20130783,드니 빌뇌브,20113786,215483,미국,2013-10-02,2013-10-02,295,24147,2013-10-15,185547
413, 캡틴 필립스,20132821,폴 그린그래스,10083439,996303,미국,2013-10-23,2013-10-23,281,19778,2013-11-05,227226
347, 3096일,20131121,쉐리 호만,10037870,9898,독일,2013-09-26,2013-09-26,19,68,2013-10-09,0
420, 말하는 건축 시티:홀,20137584,정재은,10062188,37669,한국,2013-10-24,2013-10-24,29,226,2013-11-06,3695
439, 노라노,20130681,김성희,10004664,1140,한국,2013-10-31,2013-10-31,25,174,2013-11-13,2825
433, 톱스타,20120428,박중훈,10029293,0,한국,2013-10-24,2013-10-24,386,19375,2013-11-06,167758
453, 클립,20131141,마자 밀로스,20177340,0,세르비아,2013-10-31,2013-10-31,1,50,2013-11-13,0
377, 디어 한나,20113485,패디 콘시딘,10082446,0,영국,2012-03-29,2012-03-29,10,345,2012-04-11,6527
414, 공각기동대 어라이즈 보더 1: 고스트 페인,20132682,키세 카즈치카,20178570,616,일본,2013-10-24,2013-10-24,8,28,2013-11-06,457
330, 짓,20122466,한종훈,10087738,0,한국,2013-09-25,2013-09-25,148,2467,2013-10-08,23052
325, 러시안 소설,20127526,신연식,10040499,36766,한국,2013-09-19,2013-09-19,11,227,2013-10-02,3749
401, 비단꽃길,20124052,김정욱,20125808,486,한국,2013-10-17,2013-10-17,7,40,2013-10-30,629
424, 어떤 시선,20132807,박정범|신아가|이상철|민용근,10029163|10040487|10055906|10027834,255520,한국,2013-10-24,2013-10-24,24,863,2013-11-06,18378
436, 연애의 기술,20139402,이수성,10056145,3070,한국,2013-10-30,2013-10-30,57,966,2013-11-12,8725
371, 화이: 괴물을 삼킨 아이,20123383,장준환,10060507,73132,한국,2013-10-09,2013-10-09,734,360280,2013-10-22,2012934
448, 사대명포,20133771,진가상|진소진,10070381|20169733,64990,중국,2013-10-31,2013-10-31,5,320,2013-11-13,4500
310, 슈퍼배드 2,20122089,크리스 리노드|피에르 꼬팽,20112359|20100020,2327806,미국,2013-09-12,2013-09-12,303,6262,2013-09-25,727178
392, 러브레이스,20058701,롭 엡스타인|제프리 프리드먼,10018207|10064874,0,미국,2013-10-17,2013-10-17,148,2134,2013-10-30,18703
342, 체온 ? 그녀의 온도,20132794,타카오미 오가타,20178608,800,일본,2013-09-26,2013-09-26,5,371,2013-10-09,1591
365, 히어로,20136059,김봉한|임경택,10004369|10058467,383336,한국,2013-10-08,2013-10-08,38,428,2013-10-21,22692
374, 교수와 여제자2,20125127,장 클로드 브리소,10059888,1566,프랑스,2012-03-28,2012-03-28,1,9,2012-04-10,0
