,movie_name,director_average
0, 다크아워,0
1, 덴 쉬 파운드 미,15190
2, 밀레니엄 제 1부 : 여자를 증오한 남자들,18179
3, 송곳니,57721
4, 원더풀 라디오,610392
5, 치코와 리타,21336
6, 밀레니엄 : 여자를 증오한 남자들,606131
7, 초한지 - 천하대전,173608
8, 밍크코트,264889
9, 세 번째 사랑,0
10, 스탠리의 도시락 ,23406
11, 은실이,0
12, 존 카터: 바숨 전쟁의 서막 ,1736325
13, 태어나서 미안해,0
14, 화차,54291
15, 서약,0
16, 가비,1885540
17, 마이 백 페이지,6504
18, 야색야동,466
19, 용문비갑,101444
20, 만원전철 속 그녀2,10
21, 무민가족의 한여름 대소동,0
22, 밀프,1332
23, 백 투 가야,121663
24, 버니,115978
25, 부기우기: 상위 1%의 섹스,0
26, 세상은 가끔 아름답다,7294
27, 아웃포스트 : 블랙선,0
28, 어느 예술가의 마지막 일주일,11575
29, 월드 워 Z,365632
30, 유니버셜 솔저4: 클론의 반란,1628
31, 이별계약,820307
32, 인헤리턴스,0
33, 죽음의 게임: 네이키드 워리어,0
34, 토토의 움직이는 숲,37582
35, 파라다이스 키스,22971
36, 퓨어,0
37, 홀리,0
38, 극장판 헌터X헌터 : 팬텀루즈,0
39, 더 웹툰: 예고살인,1054431
40, 라스트 엑소시즘: 잠들지 않는 영혼,0
41, 맛있는 섹스 - 인연,464
42, 빅 웨딩,0
43, 빈센트,0
44, 셀러브리티 섹스테이프,1024
45, 아메리칸 오지,0
46, 엽문4: 종극일전,8059
47, 카르페디엠,0
48, 코스모폴리스,41628
49, 쾌락! 메이드로이드,22
50, 파리의 자살가게 ,5958
51, 화이트 하우스 다운,1343434
52," 힘내세요, 병헌씨",3044134
53, 스티븐 시걸의 리벤지,354
54, 가면무도회,0
55, 감시자들,2515506
56, 욕망의 트라이앵글,88
57, 거짓말 섹스가 좋아,464
58, 론 레인저,1614009
59, 매니악 : 슬픈 살인의 기록,0
60, 맥베드,25310
61, 모니카와의 여름 ,4015
62, 백일몽 금단의기억,0
63, 빅 픽처,43739
64, 인 더 하우스,9987
65, 치어리더 캠프,0
66, 쿵후팬더: 영웅의 탄생,0
67, 타이치0 3D,818
68, 팬텀: 라스트 커맨더,0
69, 48미터,0
70, 기억하고 있다,0
71, 라 트라비아타,0
72, 고혹자-가두지왕,30
73, 여자감옥,23
74, 우리동네 포르노스타,0
75, 육체도박,0
76, 경복,0
77, 넥스트 투모로우,0
78, 마스터 ,42193
79, 명왕성,7850
80, 바디 앤 안티바디,0
81, 브레이크 블레이드4: 세기의 전쟁,142
82, 사이드 이펙트,257342
83, 슈퍼피쉬 - 끝없는 여정,0
84, 슬립리스 나이트,0
85, 알바생과의 불륜,33
86, 카오스,0
87, 코리올라누스: 세기의 라이벌,0
88, 콩가네,571
89, 퍼시픽 림,263939
90, 뜨거운 욕망,0
91, 블러드 스프링,1
