,actor_code,filmo,filmo_code,average_audience
1758,20185968,오텔로,20136743,0
9660,20248319,업사이드 다운,20152402,0
426,20110334,에픽 : 숲속의 전설,20138202,4085
2709,10048110,론 서바이버,20147953,666612
774,20178881,아브라함 링컨 VS 좀비,20132966,0
12796,20145105,파우스트,20121827,0
42,20127326,스탠리의 도시락,20124726,0
12793,10001298,파우스트,20121827,0
13797,20162026,부도리의 꿈,20123221,0
1759,20185970,오텔로,20136743,0
1577,10025511,프라미스드 랜드,20138272,548615
4401,20115293,일 트로바토레,20141142,958
215,10051376,마스터,20138982,172047
1603,10007652,이민자,20124942,0
7914,10020093,마농,20156755,165
6604,10025976,스파이,20158621,300967
1602,20128191,이민자,20124942,0
7677,10026003,가면무도회,20154806,451
6256,20209167,카르멘,20145169,0
7194,10079046,하루,20152922,0
671,20185490,스파이,20124086,0
3093,20128189,잠자는 숲속의 미녀,20112059,0
3094,20128190,잠자는 숲속의 미녀,20112059,0
773,20178880,아브라함 링컨 VS 좀비,20132966,24
43,10079954,존 카터: 바숨 전쟁의 서막,20124629,491051
3589,10030434,미녀와 야수,20148795,312186
2196,10061177,인사이드 르윈,20133585,310228
2580,10033979,우리가 들려줄 이야기,20133791,97889
10135,10038163,정글북,20162967,1813267
10326,10069604,엘르,20129886,66359
12453,10040672,나의 PS 파트너,20124936,0
13834,10032511,문라이즈 킹덤,20123483,487172
12675,10014018,라이프,20171381,584694
2704,20112216,론 서바이버,20147953,520858
665,10035772,스파이,20124086,2111862
13795,10055375,부도리의 꿈,20123221,5083
677,20168262,스파이,20124086,0
12083,10078519,내 인생의 마지막 변화구,20121281,184552
12514,20129264,미녀와 야수,20164721,544662
12454,20112011,나의 PS 파트너,20124936,2936
12220,10049440,아워 이디엇 브라더,20120943,288124
12455,10004335,나의 PS 파트너,20124936,79133
70,20129950,가비,20111774,502
12512,10049635,미녀와 야수,20164721,1886460
13835,10047666,문라이즈 킹덤,20123483,227705
10328,10041073,엘르,20129886,3714
13837,10084238,문라이즈 킹덤,20123483,162155
13717,10068615,세션 : 이 남자가 사랑하는 법,20122232,0
2316,10046583,명탐정 코난 : 탐정들의 진혼가,20068659,486637
12797,20145103,파우스트,20121827,0
12674,20175409,라이프,20171381,2052914
12237,20163336,음치 클리닉,20125406,651439
5020,20166584,파우스트,20124366,626
13249,20147110,하루,20166384,359471
11390,10073877,나우이즈굿,20120362,1726137
12225,20155492,음치 클리닉,20125406,0
12235,10006221,음치 클리닉,20125406,1108295
1456,10019880,머드,20134645,287843
423,10077744,에픽 : 숲속의 전설,20138202,430198
8974,20232028,카르멘,20161703,0
2194,10050495,인사이드 르윈,20133585,799058
12233,20127629,음치 클리닉,20125406,0
5295,20115293,라보엠,20144321,965
4402,10085186,일 트로바토레,20141142,21671
2318,10046462,명탐정 코난 : 탐정들의 진혼가,20068659,220666
12794,10087410,파우스트,20121827,3325
11839,20113631,마스터,20161725,0
421,10033021,에픽 : 숲속의 전설,20138202,373136
13251,20239826,하루,20166384,0
10134,10033469,정글북,20162967,118297
2707,10048413,론 서바이버,20147953,33652
13794,20157940,부도리의 꿈,20123221,0
11969,10077262,패신저스,20161084,1770673
7877,20216586,라이프,20155602,0
217,10048829,마스터,20138982,465573
672,20141082,스파이,20124086,0
7875,20111975,라이프,20155602,744538
1457,10023167,머드,20134645,12398
1455,20113063,머드,20134645,657949
12513,10010368,미녀와 야수,20164721,372122
679,10066710,스파이,20124086,736
2705,20241027,론 서바이버,20147953,60
9889,10015649,우디 앨런 : 우리가 몰랐던 이야기,20129726,0
7821,10070834,시스터,20127726,69839
2708,10031197,론 서바이버,20147953,345735
670,10013826,스파이,20124086,965916
12222,10029456,음치 클리닉,20125406,1875993
668,10001779,스파이,20124086,1598887
12086,10067536,내 인생의 마지막 변화구,20121281,183334
9888,10052035,우디 앨런 : 우리가 몰랐던 이야기,20129726,77216
13836,10033469,문라이즈 킹덤,20123483,310766
13793,10050055,부도리의 꿈,20123221,56073
12802,20126932,극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전,20122192,28760
6397,20209227,모두의 천사 가디,20157023,0
12450,20162354,나의 PS 파트너,20124936,0
11388,10009990,나우이즈굿,20120362,555054
51,10071134,화차,20124050,120949
10139,10077601,정글북,20162967,32414
2197,10067536,인사이드 르윈,20133585,186714
11835,20170901,마스터,20161725,2859983
67,10004703,가비,20111774,167235
55,20180929,화차,20124050,0
12447,20115209,나의 PS 파트너,20124936,3068544
7537,10017286,파우스트,20155021,1749
12448,10026816,나의 PS 파트너,20124936,0
7874,20126770,라이프,20155602,514804
60,10072168,화차,20124050,5096
13248,10004060,하루,20166384,2017016
15,10005995,원더풀 라디오,20113671,129781
6396,20209226,모두의 천사 가디,20157023,0
12673,10063816,라이프,20171381,471172
68,10029595,가비,20111774,868443
65,10071622,서약,20124874,463547
34,20182249,밍크코트,20112781,0
31,10055906,밍크코트,20112781,0
40,10017663,세 번째 사랑,20113491,512752
10136,10031191,정글북,20162967,596680
2317,10000070,명탐정 코난 : 탐정들의 진혼가,20068659,389873
2195,10074755,인사이드 르윈,20133585,293092
11433,10063935,업사이드 다운,20120562,0
12,20143806,원더풀 라디오,20113671,364840
5,10057320,원더풀 라디오,20113671,931455
11840,20151601,마스터,20161725,0
13958,20167341,빌리와 용감한 녀석들 2,20133924,27598
10725,20123931,롱 폴링,20129789,0
10138,10059402,정글북,20162967,0
13840,20162202,문라이즈 킹덤,20123483,0
195,10058744,쿵후팬더: 영웅의 탄생,20139263,0
64,10015500,서약,20124874,745501
