,actor_name,filmo,filmo_code,code
3,미카엘 니크비스트,밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,10022862
4,누미 라파스,밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,20125860
5,크리스토스 스테르기오글루,송곳니,20113591,20125861
6,미셸 발리,송곳니,20113591,20125851
7,이민정,원더풀 라디오,20113671,20111405
8,이정진,원더풀 라디오,20113671,10057320
9,이광수,원더풀 라디오,20113671,20111692
10,서영,원더풀 라디오,20113671,10035474
11,황보현,원더풀 라디오,20113671,20180937
12,이범규,원더풀 라디오,20113671,20181027
13,박지연,원더풀 라디오,20113671,20137045
14,서미래,원더풀 라디오,20113671,20183932
15,김병옥,원더풀 라디오,20113671,20143806
16,조우진,원더풀 라디오,20113671,20134255
17,김해숙,원더풀 라디오,20113671,10006221
18,김창완,원더풀 라디오,20113671,10005995
19,지대한,원더풀 라디오,20113671,10069842
20,에만 소르 오냐,치코와 리타,20113501,20125850
21,리마라 메니시스,치코와 리타,20113501,20125858
22,다니엘 크레이그,밀레니엄 : 여자를 증오한 남자들,20110882,10009451
23,루니 마라,밀레니엄 : 여자를 증오한 남자들,20110882,20115379
24,여명,초한지 - 천하대전,20113883,10049730
25,유역비,초한지 - 천하대전,20113883,10053827
26,풍소봉,초한지 - 천하대전,20113883,20125868
27,장한위,초한지 - 천하대전,20113883,10060601
28,황추생,초한지 - 천하대전,20113883,10090362
29,안지걸,초한지 - 천하대전,20113883,10043759
30,진소춘,초한지 - 천하대전,20113883,10070535
31,황정민,밍크코트,20112781,20111869
32,김미향,밍크코트,20112781,10004158
33,정희성,밍크코트,20112781,20179874
34,이상철,밍크코트,20112781,10055906
35,이재희,밍크코트,20112781,20181624
36,노형석,밍크코트,20112781,20182249
37,노형석,밍크코트,20112781,20182249
38,박상욱,밍크코트,20112781,20030332
39,박지만,밍크코트,20112781,20183231
40,신아가,밍크코트,20112781,10040487
41,신준호,밍크코트,20112781,20111222
42,폴 지아마티,세 번째 사랑,20113491,10083789
43,로자먼드 파이크,세 번째 사랑,20113491,10017663
44,더스틴 호프만,세 번째 사랑,20113491,10010611
45,파토르 A. 굽트,스탠리의 도시락,20124726,20127326
46,테일러 키취,존 카터: 바숨 전쟁의 서막,20124629,10079954
47,린 콜린스,존 카터: 바숨 전쟁의 서막,20124629,10020846
48,윌렘 데포,존 카터: 바숨 전쟁의 서막,20124629,10053013
49,사만다 모튼,존 카터: 바숨 전쟁의 서막,20124629,10034033
50,이선균,화차,20124050,10055970
51,김민희,화차,20124050,10004236
52,조성하,화차,20124050,10065946
53,송하윤,화차,20124050,10004264
54,차수연,화차,20124050,10071134
55,임남숙,화차,20124050,20179232
56,임순옥,화차,20124050,20179265
57,장대윤,화차,20124050,20179419
58,황남희,화차,20124050,20180929
59,박지은,화차,20124050,20183243
60,박지혜,화차,20124050,20183250
61,송성원,화차,20124050,20124954
62,오기민,화차,20124050,10050080
63,최덕문,화차,20124050,10072168
64,이희준,화차,20124050,10058320
65,진선규,화차,20124050,20137049
66,최일화,화차,20124050,10072645
67,레이첼 맥아담스,서약,20124874,10015500
