,actor_name,filmo,code,average_audience
1,미카엘 니크비스트,밀레니엄 제 1부 : 여자를 증오한 남자들,10022862,1162
2,누미 라파스,밀레니엄 제 1부 : 여자를 증오한 남자들,20125860,332865
3,크리스토스 스테르기오글루,송곳니,20125861,0
4,미셸 발리,송곳니,20125851,0
5,이민정,원더풀 라디오,20111405,959910
6,이정진,원더풀 라디오,10057320,931455
7,이광수,원더풀 라디오,20111692,581240
8,서영,원더풀 라디오,10035474,3137
9,황보현,원더풀 라디오,20180937,0
10,이범규,원더풀 라디오,20181027,0
11,박지연,원더풀 라디오,20137045,0
12,서미래,원더풀 라디오,20183932,0
13,김병옥,원더풀 라디오,20143806,364840
14,조우진,원더풀 라디오,20134255,0
15,김해숙,원더풀 라디오,10006221,1108295
16,김창완,원더풀 라디오,10005995,129781
17,지대한,원더풀 라디오,10069842,185978
18,에만 소르 오냐,치코와 리타,20125850,0
19,리마라 메니시스,치코와 리타,20125858,0
20,다니엘 크레이그,밀레니엄 : 여자를 증오한 남자들,10009451,938628
21,루니 마라,밀레니엄 : 여자를 증오한 남자들,20115379,123042
22,여명,초한지 - 천하대전,10049730,46648
23,유역비,초한지 - 천하대전,10053827,137804
24,풍소봉,초한지 - 천하대전,20125868,17900
25,장한위,초한지 - 천하대전,10060601,28137
26,황추생,초한지 - 천하대전,10090362,13142
27,안지걸,초한지 - 천하대전,10043759,532
28,진소춘,초한지 - 천하대전,10070535,4792
29,황정민,밍크코트,20111869,0
30,김미향,밍크코트,10004158,330
31,정희성,밍크코트,20179874,0
32,이상철,밍크코트,10055906,0
33,이재희,밍크코트,20181624,0
34,노형석,밍크코트,20182249,0
35,노형석,밍크코트,20182249,0
36,박상욱,밍크코트,20030332,0
37,박지만,밍크코트,20183231,0
38,신아가,밍크코트,10040487,0
39,신준호,밍크코트,20111222,500
40,폴 지아마티,세 번째 사랑,10083789,188298
41,로자먼드 파이크,세 번째 사랑,10017663,512752
42,더스틴 호프만,세 번째 사랑,10010611,633826
43,파토르 A. 굽트,스탠리의 도시락,20127326,0
44,테일러 키취,존 카터: 바숨 전쟁의 서막,10079954,491051
45,린 콜린스,존 카터: 바숨 전쟁의 서막,10020846,543954
46,윌렘 데포,존 카터: 바숨 전쟁의 서막,10053013,229617
47,사만다 모튼,존 카터: 바숨 전쟁의 서막,10034033,1170530
48,이선균,화차,10055970,804810
49,김민희,화차,10004236,778534
50,조성하,화차,10065946,717244
51,송하윤,화차,10004264,170722
52,차수연,화차,10071134,120949
53,임남숙,화차,20179232,0
54,임순옥,화차,20179265,0
55,장대윤,화차,20179419,0
56,황남희,화차,20180929,0
57,박지은,화차,20183243,0
58,박지혜,화차,20183250,1088
59,송성원,화차,20124954,0
60,오기민,화차,10050080,0
61,최덕문,화차,10072168,5096
62,이희준,화차,10058320,707493
63,진선규,화차,20137049,23390
64,최일화,화차,10072645,124894
65,레이첼 맥아담스,서약,10015500,745501
66,채닝 테이텀,서약,10071622,463547
67,주진모,가비,10069182,1606359
68,김소연,가비,10004703,167235
69,박희순,가비,10029595,868443
70,유선,가비,10053708,1168490
71,손호승,가비,20129950,502
