,movie_name,nation,distribution,director_average,actor_sum,rate,genre,release_date,day1_screen,day1_audience,day15_date,day15_audience
0,다크아워,미국,이십세기폭스코리아(주),18179,0,12세이상관람가|12세이상관람가,SF|액션,2012-01-05,305,22325,2012-01-12,144725
1,밀레니엄 제 1부 : 여자를 증오한 남자들,스웨덴,팝엔터테인먼트,57721,334027,청소년관람불가,스릴러,2012-01-05,6,107,2012-01-12,1023
2,송곳니,그리스,(주)컴퍼니엘,610392,0,청소년관람불가,코미디|드라마,2012-01-05,1,44,2012-01-12,273
3,원더풀 라디오,한국,(주)쇼박스,21336,4264636,15세이상관람가,드라마|멜로/로맨스,2012-01-05,421,60371,2012-01-12,579504
4,치코와 리타,스페인,찬란,21336,0,15세이상관람가,애니메이션|멜로/로맨스,2012-01-05,15,436,2012-01-12,5402
5,밀레니엄 : 여자를 증오한 남자들,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,21336,1061670,청소년관람불가,스릴러|드라마,2012-01-11,195,11033,2012-01-18,295056
6,초한지 - 천하대전,중국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),606131,248955,12세이상관람가,액션,2012-01-11,97,2636,2012-01-18,86698
7,밍크코트,한국,㈜인디스토리,173608,830,15세이상관람가,드라마,2012-01-12,13,149,2012-01-19,1397
8,세 번째 사랑,캐나다,(주)씨타마운틴픽쳐스,264889,1334876,청소년관람불가,멜로/로맨스|드라마,2012-01-12,15,431,2012-01-19,4721
11,화차,한국,필라멘트픽쳐스,54291,3454220,15세이상관람가,미스터리,2012-03-08,456,74855,2012-03-15,1017294
12,서약,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,0,1209048,15세이상관람가,드라마|멜로/로맨스,2012-03-14,284,37219,2012-03-21,202310
13,가비,한국,(주)시네마서비스,1885540,5345436,15세이상관람가,드라마|멜로/로맨스|미스터리,2012-03-15,315,23878,2012-03-22,221631
14,마이 백 페이지,일본,팝엔터테인먼트|(주)영화사조아,6504,158931,15세이상관람가,드라마,2012-03-15,7,124,2012-03-22,1621
15,무민가족의 한여름 대소동,핀란드,(주)나이너스엔터테인먼트,115978,0,전체관람가,애니메이션,2013-06-20,5,500,2013-06-27,1200
16,밀프,미국,(주)스넵쏘울,7294,0,청소년관람불가,코미디|드라마,2013-06-20,0,0,2013-06-27,108
17,버니,미국,(주)미디어데이,11575,2324585,15세이상관람가,코미디|범죄|드라마,2013-06-20,28,340,2013-06-27,6020
18,부기우기: 상위 1%의 섹스,영국,(주)소나무픽쳐스,11575,0,청소년관람불가,코미디|드라마,2013-06-20,1,100,2013-06-27,805
19,세상은 가끔 아름답다,일본,(주)영진크리에이티브,365632,23424,청소년관람불가,드라마,2013-06-20,0,0,2013-06-27,14
20,아웃포스트 : 블랙선,영국,(주)소나무픽쳐스,820307,0,15세이상관람가,스릴러|액션,2013-06-20,1,196,2013-06-27,1451
21,어느 예술가의 마지막 일주일,프랑스,프리비젼엔터테인먼트,37582,100719,15세이상관람가,드라마,2013-06-20,16,437,2013-06-27,6425
22,월드 워 Z,미국,롯데쇼핑㈜롯데엔터테인먼트,0,1020011,15세이상관람가|15세이상관람가,드라마|스릴러|SF|액션|어드벤처,2013-06-20,802,239692,2013-06-27,2257673
23,유니버셜 솔저4: 클론의 반란,미국,(유)조이앤컨텐츠그룹,1054431,0,청소년관람불가,액션|SF,2013-06-20,1,14,2013-06-27,874
24,이별계약,한국,씨제이이앤엠(주),0,75495,12세이상관람가,멜로/로맨스|드라마,2013-06-20,60,1705,2013-06-27,12829
25,토토의 움직이는 숲,덴마크,(주)미디어데이,0,0,전체관람가,애니메이션,2013-06-20,99,1268,2013-06-27,38225
26,파라다이스 키스,일본,(주)미디어이야기 ,1024,0,15세이상관람가,드라마,2013-06-20,5,339,2013-06-27,1260
27,퓨어,스웨덴,㈜영화사 백두대간,41628,338972,청소년관람불가,드라마,2013-06-20,1,68,2013-06-27,651
28,극장판 헌터X헌터 : 팬텀루즈,일본,씨너스엔터테인먼트(주),1343434,0,15세이상관람가,애니메이션,2013-06-27,42,369,2013-07-04,2266
29,더 웹툰: 예고살인,한국,씨제이이앤엠(주),3044134,2282276,15세이상관람가,공포(호러)|스릴러,2013-06-27,541,80164,2013-07-04,679618
30,라스트 엑소시즘: 잠들지 않는 영혼,미국,(주)팝파트너스,2515506,0,15세이상관람가,공포(호러)|스릴러,2013-06-27,87,1124,2013-07-04,9050
31,빅 웨딩,미국,(주)나이너스엔터테인먼트,2515506,2403340,청소년관람불가,멜로/로맨스|코미디,2013-06-27,149,5044,2013-07-04,31496
32,빈센트,독일,시네마 뉴원,1614009,1458,15세이상관람가,드라마,2013-06-27,6,319,2013-07-04,2676
33,셀러브리티 섹스테이프,미국,(주)스넵쏘울,43739,204,청소년관람불가,코미디,2013-06-27,2,90,2013-07-04,714
