movie_name,movie_code,director_name,director_code,nation,release_date,day1_date,day1_screen,day1_audience,day15_date,day15_audience
 다크아워,20113652,크리스 고락,10077008,미국,2012-01-05,2012-01-05,305,22325,2012-01-18,162604
 밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,닐스 아르덴 오플레브,20125859,스웨덴,2012-01-05,2012-01-05,6,107,2012-01-18,1554
 송곳니,20113591,요르고스 란티모스,10065698,그리스,2012-01-05,2012-01-05,1,44,2012-01-18,400
 원더풀 라디오,20113671,권칠인,10002537,한국,2012-01-05,2012-01-05,421,60371,2012-01-18,882472
 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,스페인,2012-01-05,2012-01-05,15,436,2012-01-18,7962
 밀레니엄 : 여자를 증오한 남자들,20110882,데이빗 핀처,10012198,미국,2012-01-11,2012-01-11,195,11033,2012-01-24,384526
 초한지 - 천하대전,20113883,이인항,10057088,중국,2012-01-11,2012-01-11,97,2636,2012-01-24,91447
 밍크코트,20112781,신아가|이상철,10040487|10055906,한국,2012-01-12,2012-01-12,13,149,2012-01-25,1872
 세 번째 사랑,20113491,리처드 J. 루이스,20125878,캐나다,2012-01-12,2012-01-12,15,431,2012-01-25,7284
 스탠리의 도시락 ,20124726,아몰 굽트,20127325,인도,2012-03-08,2012-03-08,125,1601,2012-03-21,42943
 은실이,20112861,김선아|박세희,20113131|20114946,한국,2012-03-08,2012-03-08,1,15,2012-03-21,194
 존 카터: 바숨 전쟁의 서막 ,20124629,앤드류 스탠튼,10045926,미국,2012-03-08,2012-03-08,462,41747,2012-03-21,717951
 태어나서 미안해,20112071,최영석,10072471,한국,2012-03-08,2012-03-08,1,6,2012-03-21,201
 화차,20124050,변영주,10031365,한국,2012-03-08,2012-03-08,456,74855,2012-03-21,1761276
 서약,20124874,마이클 수치,10023193,미국,2012-03-14,2012-03-14,284,37219,2012-03-27,232646
 가비,20111774,장윤현,10060414,한국,2012-03-15,2012-03-15,315,23878,2012-03-28,266138
 마이 백 페이지,20113483,야마시타 노부히로,10046558,일본,2012-03-15,2012-03-15,7,124,2012-03-28,2049
 밀프,20139843,스콧 휠러,20175362,미국,2013-06-20,2013-06-20,0,0,2013-07-03,708
 버니,20138582,리차드 링클레이터,10020023,미국,2013-06-20,2013-06-20,28,340,2013-07-03,7175
 부기우기: 상위 1%의 섹스,20098216,던컨 워드,10010661,영국,2013-06-20,2013-06-20,1,100,2013-07-03,1514
 세상은 가끔 아름답다,20139581,미노리카와 오사무,20174840,일본,2013-06-20,2013-06-20,0,0,2013-07-03,34
 어느 예술가의 마지막 일주일,20134484,마르잔 사트라피|뱅상 파로노,10021485|10030436,프랑스,2013-06-20,2013-06-20,16,437,2013-07-03,9873
 월드 워 Z,20122122,마크 포스터,10024440,미국,2013-06-20,2013-06-20,802,239692,2013-07-03,3553992
 유니버셜 솔저4: 클론의 반란,20139181,존 하이암스,10068563,미국,2013-06-20,2013-06-20,1,14,2013-07-03,1252
 이별계약,20137081,오기환,10050086,한국,2013-06-20,2013-06-20,60,1705,2013-07-03,16278
 토토의 움직이는 숲,20126253,에스벤 토프트 야콥슨,20174581,덴마크,2013-06-20,2013-06-20,99,1268,2013-07-03,61914
 파라다이스 키스,20138861,신조 타케히코,20112339,일본,2013-06-20,2013-06-20,5,339,2013-07-03,1572
 퓨어,20139264,리사 랑세트,20174580,스웨덴,2013-06-20,2013-06-20,1,68,2013-07-03,1054
 홀리,20124043,박병환,20125796,한국,2013-06-20,2013-06-20,7,132,2013-07-03,608
 극장판 헌터X헌터 : 팬텀루즈,20139262,사토 유조,20174462,일본,2013-06-27,2013-06-27,42,369,2013-07-10,2988
 더 웹툰: 예고살인,20129114,김용균,10005097,한국,2013-06-27,2013-06-27,541,80164,2013-07-10,965352
 라스트 엑소시즘: 잠들지 않는 영혼,20139222,에드 게스-도넬리,20175360,미국,2013-06-27,2013-06-27,87,1124,2013-07-10,9372
 빅 웨딩,20138884,저스틴 잭햄,10061164,미국,2013-06-27,2013-06-27,149,5044,2013-07-10,33474
 빈센트,20138608,랄프 후에트너,10014388,독일,2013-06-27,2013-06-27,6,319,2013-07-10,3611
 셀러브리티 섹스테이프,20139921,스콧 휠러,20175362,미국,2013-06-27,2013-06-27,2,90,2013-07-10,1264
 엽문4: 종극일전,20139863,구예도,20072820,홍콩,2013-06-27,2013-06-27,5,350,2013-07-10,2888
 카르페디엠,20134485,레이노앗 오얼레만스,20167420,네덜란드,2013-06-27,2013-06-27,1,100,2013-07-10,830
 코스모폴리스,20138882,데이빗 크로넨버그,10012121,캐나다,2013-06-27,2013-06-27,23,789,2013-07-10,11213
 화이트 하우스 다운,20137815,롤랜드 에머리히,10018115,미국,2013-06-27,2013-06-27,457,60803,2013-07-10,562860
" 힘내세요, 병헌씨",20122123,이병헌,20125862,한국,2013-06-27,2013-06-27,16,175,2013-07-10,2706
 가면무도회,20135269,데이비드 알덴,20175820,미국,2013-06-29,2013-06-29,2,67,2013-07-12,400
 감시자들,20122783,조의석|김병서,10066810|10004276,한국,2013-07-03,2013-07-03,731,210052,2013-07-16,3785950
 론 레인저,20136862,고어 버빈스키,10001678,미국,2013-07-04,2013-07-04,392,42702,2013-07-17,385673
 매니악 : 슬픈 살인의 기록,20137964,프랭크 칼폰,10084753,미국,2013-07-04,2013-07-04,32,255,2013-07-17,2780
 모니카와의 여름 ,20134481,잉마르 베리만,10059012,스웨덴,2013-07-04,2013-07-04,1,22,2013-07-17,358
 빅 픽처,20134044,에릭 라티고,10048062,프랑스,2013-07-04,2013-07-04,19,758,2013-07-17,13295
 인 더 하우스,20139121,프랑소와 오종,10084405,프랑스,2013-07-04,2013-07-04,25,767,2013-07-17,11726
 쿵후팬더: 영웅의 탄생,20139263,레오 로,20174720,중국,2013-07-04,2013-07-04,90,923,2013-07-17,72899
 타이치0 3D,20139081,풍덕륜,10084148,홍콩,2013-07-04,2013-07-04,110,1325,2013-07-17,16285
 팬텀: 라스트 커맨더,20139403,토드 로빈슨,10080269,미국,2013-07-04,2013-07-04,42,283,2013-07-17,3777
 48미터,20120801,민백두,10027791,한국,2013-07-04,2013-07-04,34,549,2013-07-17,9968
 라 트라비아타,20139824,후고 데 아나,20175044,독일,2013-07-06,2013-07-06,1,105,2013-07-19,935
 넥스트 투모로우,20130389,트레비스 포트,20176120,미국,2013-07-11,2013-07-11,3,180,2013-07-24,1380
 마스터 ,20138982,폴 토마스 앤더슨,10083853,미국,2013-07-11,2013-07-11,36,1404,2013-07-24,22534
 명왕성,20120110,신수원,10040434,한국,2013-07-11,2013-07-11,78,1107,2013-07-24,15019
 사이드 이펙트,20139723,스티븐 소더버그,10039429,미국,2013-07-11,2013-07-11,165,4096,2013-07-24,37089
 슈퍼피쉬 - 끝없는 여정,20138502,송웅달|이지운|이기연,20173082|20175400|20175401,한국,2013-07-11,2013-07-11,12,477,2013-07-24,2118
 코리올라누스: 세기의 라이벌,20139822,랄프 파인즈,10014377,영국,2013-07-11,2013-07-11,3,319,2013-07-24,2245
 콩가네,20124031,남기웅,10007504,한국,2013-07-11,2013-07-11,3,154,2013-07-24,712
 퍼시픽 림,20136961,길예르모 델 토로,10003461,미국,2013-07-11,2013-07-11,961,209975,2013-07-24,2308511
 미스터 고,20124082,김용화,10005151,한국,2013-07-17,2013-07-17,840,94955,2013-07-30,1232663
 까밀 리와인드,20134068,노에미 르보브스키,10008136,프랑스,2013-07-18,2013-07-18,23,1078,2013-07-31,13882
 레드: 더 레전드,20136962,딘 패리소트,10013627,미국,2013-07-18,2013-07-18,497,131462,2013-07-31,2511270
 브로큰,20122230,루퍼스 노리스,20168766,영국,2013-07-18,2013-07-18,16,312,2013-07-31,2647
 에어라인 플라이트,20130669,존 윌리스 3세,10068240,미국,2013-07-18,2013-07-18,2,180,2013-07-31,2240
 우리는 그곳에 있었다,20126673,박준기,20128869,한국,2013-07-18,2013-07-18,5,105,2013-07-31,1298
