,movie_name,movie_code,director_name,director_code,nation,release_date,day1_screen,day1_audience,day8_date,day8_audience,director_sum
0, 다크아워,20113652,크리스 고락,10077008,미국,2012-01-05,305,22325,2012-01-12,144725,18179
1, 밀레니엄 제 1부 : 여자를 증오한 남자들,20113836,닐스 아르덴 오플레브,20125859,스웨덴,2012-01-05,6,107,2012-01-12,1023,57721
2, 송곳니,20113591,요르고스 란티모스,10065698,그리스,2012-01-05,1,44,2012-01-12,273,610392
3, 원더풀 라디오,20113671,권칠인,10002537,한국,2012-01-05,421,60371,2012-01-12,579504,21336
4, 치코와 리타,20113501,페르난도 트루에바|하비에르 마리스칼|토노 에란도,10083092|20125837|20125849,스페인,2012-01-05,15,436,2012-01-12,5402,21336
5, 밀레니엄 : 여자를 증오한 남자들,20110882,데이빗 핀처,10012198,미국,2012-01-11,195,11033,2012-01-18,295056,21336
6, 초한지 - 천하대전,20113883,이인항,10057088,중국,2012-01-11,97,2636,2012-01-18,86698,606131
7, 밍크코트,20112781,신아가|이상철,10040487|10055906,한국,2012-01-12,13,149,2012-01-19,1397,173608
8, 세 번째 사랑,20113491,리처드 J. 루이스,20125878,캐나다,2012-01-12,15,431,2012-01-19,4721,264889
9, 스탠리의 도시락 ,20124726,아몰 굽트,20127325,인도,2012-03-08,125,1601,2012-03-15,36937,264889
10, 존 카터: 바숨 전쟁의 서막 ,20124629,앤드류 스탠튼,10045926,미국,2012-03-08,462,41747,2012-03-15,503713,0
11, 화차,20124050,변영주,10031365,한국,2012-03-08,456,74855,2012-03-15,1017294,54291
12, 서약,20124874,마이클 수치,10023193,미국,2012-03-14,284,37219,2012-03-21,202310,0
13, 가비,20111774,장윤현,10060414,한국,2012-03-15,315,23878,2012-03-22,221631,1885540
14, 마이 백 페이지,20113483,야마시타 노부히로,10046558,일본,2012-03-15,7,124,2012-03-22,1621,6504
15, 무민가족의 한여름 대소동,20139490,마리아 린드버그,20174740,핀란드,2013-06-20,5,500,2013-06-27,1200,115978
16, 밀프,20139843,스콧 휠러,20175362,미국,2013-06-20,0,0,2013-06-27,108,7294
